unit_id,unit_name,region,period,pop_start,pop_end,births_est,deaths_est,natural_increase,net_migration,netmig_rate_per_1000_yr,flag
03049,Nueva Ecija,Region III (Central Luzon),2015-2020,2151461.0,2310134.0,151528.5,64579.1,86949.4,71723.6,6.77,
02050,Nueva Vizcaya,Region II (Cagayan Valley),2015-2020,452287.0,497432.0,40798.9,12259.3,28539.6,16605.4,7.36,
1381500000,City of Taguig,National Capital Region (NCR),2015-2020,804915.0,886722.0,69613.1,18324.2,51288.9,30518.1,7.6,
1380300000,City of Makati,National Capital Region (NCR),2015-2020,582602.0,629616.0,38698.3,15207.6,23490.7,23523.3,8.17,
03077,Aurora,Region III (Central Luzon),2015-2020,214336.0,235750.0,17865.6,5676.2,12189.4,9224.6,8.63,
03071,Zambales,Region III (Central Luzon),2015-2020,590848.0,649615.0,51137.5,19194.7,31942.9,26824.1,9.1,
11023,Davao del Norte,Region XI (Davao Region),2015-2020,1016332.0,1125057.0,91926.7,31502.8,60423.9,48301.1,9.5,
16002,Agusan del Norte,Region XIII (Caraga),2015-2020,354503.0,387503.0,26658.2,10618.3,16039.9,16960.1,9.62,
1830200000,City of Bacolod ,Negros Island Region (NIR),2015-2020,561875.0,600783.0,32317.0,20179.0,12138.0,26770.0,9.69,
03054,Pampanga,Region III (Central Luzon),2015-2020,2198110.0,2437709.0,190885.2,59739.0,131146.2,108452.8,9.85,
1380500000,City of Mandaluyong,National Capital Region (NCR),2015-2020,386276.0,425758.0,30868.2,10664.4,20203.9,19278.1,10.0,
18061,Siquijor,Negros Island Region (NIR),2015-2020,95984.0,103395.0,6402.9,3957.9,2445.0,4966.0,10.49,
03069,Tarlac,Region III (Central Luzon),2015-2020,1366027.0,1503456.0,106870.6,44388.3,62482.3,74946.7,11.0,
17053,Palawan,MIMAROPA Region,2015-2020,849469.0,939594.0,59536.1,16848.9,42687.2,47437.8,11.16,
16067,Surigao del Norte,Region XIII (Caraga),2015-2020,485088.0,534636.0,36482.4,15210.0,21272.4,28275.6,11.67,
02009,Batanes,Region II (Cagayan Valley),2015-2020,17246.0,18831.0,1276.5,698.9,577.6,1007.4,11.76,
03008,Bataan,Region III (Central Luzon),2015-2020,760650.0,853373.0,70428.2,23295.9,47132.3,45590.7,11.89,
1630400000,City of Butuan ,Region XIII (Caraga),2015-2020,337063.0,372910.0,26005.8,10278.5,15727.3,20119.7,11.93,
04034,Laguna,Region IV-A (CALABARZON),2015-2020,3035081.0,3382193.0,247380.2,87217.5,160162.8,186949.2,12.27,
0330100000,City of Angeles,Region III (Central Luzon),2015-2020,411634.0,462928.0,36507.1,11787.3,24719.7,26574.3,12.79,
0331400000,City of Olongapo,Region III (Central Luzon),2015-2020,233040.0,260317.0,19166.2,7402.6,11763.6,15513.4,13.24,
07022,Cebu,Region VII (Central Visayas),2015-2020,2938982.0,3325385.0,277265.9,89653.7,187612.2,198790.8,13.36,
0931700000,City of Zamboanga,Region IX (Zamboanga Peninsula),2015-2020,861799.0,977234.0,71139.8,23664.2,47475.6,67959.4,15.56,
03014,Bulacan,Region III (Central Luzon),2015-2020,3292071.0,3708890.0,252671.8,97009.3,155662.4,261156.6,15.71,
19087+19088,"Maguindanao (undivided, excl. Cotabato City)",Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),2015-2020,1173933.0,1342179.0,77448.1,6981.5,70466.6,97779.4,16.36,"BARMM: civil registration coverage is far below national (2020 census: 77% of persons had a registered birth vs 96.6% nationally, PSA); unregistered births read as in-migration, so do not interpret this residual as migration"
1230800000,City of General Santos,Region XII (SOCCSKSARGEN),2015-2020,594446.0,697315.0,64505.9,16552.5,47953.4,54915.6,17.9,
04058,Rizal,Region IV-A (CALABARZON),2015-2020,2884227.0,3330143.0,250883.1,80870.3,170012.9,275903.1,18.69,
1381600000,City of Valenzuela,National Capital Region (NCR),2015-2020,620422.0,714978.0,52582.8,18078.5,34504.3,60051.7,18.93,
19070,Tawi-Tawi,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),2015-2020,390715.0,440276.0,9530.7,1226.2,8304.5,41256.5,20.9,"BARMM: civil registration coverage is far below national (2020 census: 77% of persons had a registered birth vs 96.6% nationally, PSA); unregistered births read as in-migration, so do not interpret this residual as migration"
0990101000,City of Isabela,Region IX (Zamboanga Peninsula),2015-2020,112788.0,130379.0,6823.7,1968.9,4854.8,12736.2,22.05,
19036,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),2015-2020,1045429.0,1195518.0,36087.2,4075.7,32011.6,118077.4,22.18,"BARMM: civil registration coverage is far below national (2020 census: 77% of persons had a registered birth vs 96.6% nationally, PSA); unregistered births read as in-migration, so do not interpret this residual as migration"
04021,Cavite,Region IV-A (CALABARZON),2015-2020,3678301.0,4344829.0,299274.9,100649.5,198625.4,467902.6,24.55,
0731100000,City of Lapu-Lapu,Region VII (Central Visayas),2015-2020,408112.0,497604.0,46730.2,10304.3,36425.9,53066.1,24.67,
1731500000,City of Puerto Princesa ,MIMAROPA Region,2015-2020,255116.0,307079.0,19301.9,6404.3,12897.6,39065.4,29.26,
19066,Sulu,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),2015-2020,824731.0,1000108.0,14658.1,2082.2,12575.9,162801.1,37.56,"BARMM: civil registration coverage is far below national (2020 census: 77% of persons had a registered birth vs 96.6% nationally, PSA); unregistered births read as in-migration, so do not interpret this residual as migration"
19007,Basilan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),2015-2020,346579.0,426207.0,9132.6,2406.8,6725.8,72902.2,39.72,"BARMM: civil registration coverage is far below national (2020 census: 77% of persons had a registered birth vs 96.6% nationally, PSA); unregistered births read as in-migration, so do not interpret this residual as migration"
