period,name,change_type,new_code9,mother_or_old_name,old_code9,legal_basis,remarks,sheet,level
July - September 2017,"Bgy. Bulanon, Sagay City, Negros Occidental",Transferred barangay,064523004,,184523004,,,2001-present,barangay
July - September 2017,"Bgy. Campo Himoga-an, Sagay City, Negros Occidental",Transferred barangay,064523005,,184523005,,,2001-present,barangay
July - September 2017,"Bgy. Campo Santiago, Sagay City, Negros Occidental",Transferred barangay,064523006,,184523006,,,2001-present,barangay
July - September 2017,"Bgy. Colonia Divina, Sagay City, Negros Occidental",Transferred barangay,064523007,,184523007,,,2001-present,barangay
July - September 2017,"Bgy. Fabrica, Sagay City, Negros Occidental",Transferred barangay,064523008,,184523008,,,2001-present,barangay
July - September 2017,"Bgy. General Luna, Sagay City, Negros Occidental",Transferred barangay,064523009,,184523009,,,2001-present,barangay
July - September 2017,"Bgy. Himoga-an Baybay, Sagay City, Negros Occidental",Transferred barangay,064523010,,184523010,,,2001-present,barangay
July - September 2017,"Bgy. Lopez Jaena, Sagay City, Negros Occidental",Transferred barangay,064523011,,184523011,,,2001-present,barangay
July - September 2017,"Bgy. Malubon, Sagay City, Negros Occidental",Transferred barangay,064523012,,184523012,,,2001-present,barangay
July - September 2017,"Bgy. Makiling, Sagay City, Negros Occidental",Transferred barangay,064523013,,184523013,,,2001-present,barangay
July - September 2017,"Bgy. Molocaboc, Sagay City, Negros Occidental",Transferred barangay,064523014,,184523014,,,2001-present,barangay
July - September 2017,"Bgy. Old Sagay, Sagay City, Negros Occidental",Transferred barangay,064523015,,184523015,,,2001-present,barangay
July - September 2017,"Bgy. Paraiso, Sagay City, Negros Occidental",Transferred barangay,064523016,,184523016,,,2001-present,barangay
July - September 2017,"Bgy. Plaridel, Sagay City, Negros Occidental",Transferred barangay,064523017,,184523017,,,2001-present,barangay
July - September 2017,"Poblacion I (Barangay 1), Sagay City, Negros Occidental",Transferred barangay,064523018,,184523018,,,2001-present,barangay
July - September 2017,"Poblacion II (Barangay 2), Sagay City, Negros Occidental",Transferred barangay,064523019,,184523019,,,2001-present,barangay
July - September 2017,"Bgy. Puey, Sagay City, Negros Occidental",Transferred barangay,064523020,,184523020,,,2001-present,barangay
July - September 2017,"Bgy. Rizal, Sagay City, Negros Occidental",Transferred barangay,064523021,,184523021,,,2001-present,barangay
July - September 2017,"Bgy. Taba-ao, Sagay City, Negros Occidental",Transferred barangay,064523022,,184523022,,,2001-present,barangay
July - September 2017,"Bgy. Tadlong, Sagay City, Negros Occidental",Transferred barangay,064523023,,184523023,,,2001-present,barangay
July - September 2017,"Bgy. Vito, Sagay City, Negros Occidental",Transferred barangay,064523025,,184523025,,,2001-present,barangay
July - September 2017,"Bgy. Rafaela Barrera, Sagay City, Negros Occidental",Transferred barangay,064523026,,184523026,,,2001-present,barangay
July - September 2017,"San Carlos City, Negros Occidental",Transferred city,064524000,,184524000,,,2001-present,city_muni
July - September 2017,"Bgy. Bagonbon, San Carlos City, Negros Occidental",Transferred barangay,064524001,,184524001,,,2001-present,barangay
July - September 2017,"Bgy. Buluangan, San Carlos City, Negros Occidental",Transferred barangay,064524002,,184524002,,,2001-present,barangay
July - September 2017,"Bgy. Codcod, San Carlos City, Negros Occidental",Transferred barangay,064524004,,184524004,,,2001-present,barangay
July - September 2017,"Bgy. Ermita, San Carlos City, Negros Occidental",Transferred barangay,064524005,,184524005,,,2001-present,barangay
July - September 2017,"Bgy. Guadalupe, San Carlos City, Negros Occidental",Transferred barangay,064524006,,184524006,,,2001-present,barangay
July - September 2017,"Bgy. Nataban, San Carlos City, Negros Occidental",Transferred barangay,064524008,,184524008,,,2001-present,barangay
July - September 2017,"Bgy. Palampas, San Carlos City, Negros Occidental",Transferred barangay,064524009,,184524009,,,2001-present,barangay
July - September 2017,"Barangay I (Pob.), San Carlos City, Negros Occidental",Transferred barangay,064524010,,184524010,,,2001-present,barangay
July - September 2017,"Barangay II (Pob.), San Carlos City, Negros Occidental",Transferred barangay,064524011,,184524011,,,2001-present,barangay
July - September 2017,"Barangay III (Pob.), San Carlos City, Negros Occidental",Transferred barangay,064524012,,184524012,,,2001-present,barangay
July - September 2017,"Barangay IV (Pob.), San Carlos City, Negros Occidental",Transferred barangay,064524013,,184524013,,,2001-present,barangay
July - September 2017,"Barangay V (Pob.), San Carlos City, Negros Occidental",Transferred barangay,064524014,,184524014,,,2001-present,barangay
July - September 2017,"Barangay VI (Pob.), San Carlos City, Negros Occidental",Transferred barangay,064524015,,184524015,,,2001-present,barangay
July - September 2017,"Bgy. Prosperidad, San Carlos City, Negros Occidental",Transferred barangay,064524016,,184524016,,,2001-present,barangay
July - September 2017,"Bgy. Punao, San Carlos City, Negros Occidental",Transferred barangay,064524017,,184524017,,,2001-present,barangay
July - September 2017,"Bgy. Quezon, San Carlos City, Negros Occidental",Transferred barangay,064524018,,184524018,,,2001-present,barangay
July - September 2017,"Bgy. Rizal, San Carlos City, Negros Occidental",Transferred barangay,064524019,,184524019,,,2001-present,barangay
July - September 2017,"Bgy. San Juan, San Carlos City, Negros Occidental",Transferred barangay,064524020,,184524020,,,2001-present,barangay
July - September 2017,"San Enrique, Negros Occidental",Transferred municipality,064525000,,184525000,,,2001-present,city_muni
July - September 2017,"Bgy. Bagonawa, San Enrique, Negros Occidental",Transferred barangay,064525001,,184525001,,,2001-present,barangay
July - September 2017,"Bgy. Baliwagan, San Enrique, Negros Occidental",Transferred barangay,064525002,,184525002,,,2001-present,barangay
July - September 2017,"Bgy. Batuan, San Enrique, Negros Occidental",Transferred barangay,064525003,,184525003,,,2001-present,barangay
July - September 2017,"Bgy. Guintorilan, San Enrique, Negros Occidental",Transferred barangay,064525004,,184525004,,,2001-present,barangay
July - September 2017,"Bgy. Nayon, San Enrique, Negros Occidental",Transferred barangay,064525005,,184525005,,,2001-present,barangay
July - September 2017,"Bgy. Poblacion, San Enrique, Negros Occidental",Transferred barangay,064525006,,184525006,,,2001-present,barangay
July - September 2017,"Bgy. Sibucao, San Enrique, Negros Occidental",Transferred barangay,064525007,,184525007,,,2001-present,barangay
July - September 2017,"Bgy. Tabao Baybay, San Enrique, Negros Occidental",Transferred barangay,064525008,,184525008,,,2001-present,barangay
July - September 2017,"Bgy. Tabao Rizal, San Enrique, Negros Occidental",Transferred barangay,064525009,,184525009,,,2001-present,barangay
July - September 2017,"Bgy. Tibsoc, San Enrique, Negros Occidental",Transferred barangay,064525010,,184525010,,,2001-present,barangay
July - September 2017,"Silay City, Negros Occidental",Transferred city,064526000,,184526000,,,2001-present,city_muni
July - September 2017,"Balaring, Silay City, Negros Occidental",Transferred barangay,064526001,,184526001,,,2001-present,barangay
July - September 2017,"Barangay I (Pob.), Silay City, Negros Occidental",Transferred barangay,064526002,,184526002,,,2001-present,barangay
July - September 2017,"Barangay II (Pob.), Silay City, Negros Occidental",Transferred barangay,064526003,,184526003,,,2001-present,barangay
July - September 2017,"Barangay III (Pob.), Silay City, Negros Occidental",Transferred barangay,064526004,,184526004,,,2001-present,barangay
July - September 2017,"Barangay IV (Pob.), Silay City, Negros Occidental",Transferred barangay,064526005,,184526005,,,2001-present,barangay
July - September 2017,"Barangay V (Pob.), Silay City, Negros Occidental",Transferred barangay,064526006,,184526006,,,2001-present,barangay
July - September 2017,"Barangay VI Pob. (Hawaiian), Silay City, Negros Occidental",Transferred barangay,064526007,,184526007,,,2001-present,barangay
July - September 2017,"Bgy. Eustaquio Lopez, Silay City, Negros Occidental",Transferred barangay,064526008,,184526008,,,2001-present,barangay
July - September 2017,"Bgy. Guimbala-on, Silay City, Negros Occidental",Transferred barangay,064526010,,184526010,,,2001-present,barangay
July - September 2017,"Bgy. Guinhalaran, Silay City, Negros Occidental",Transferred barangay,064526011,,184526011,,,2001-present,barangay
July - September 2017,"Bgy. Kapitan Ramon, Silay City, Negros Occidental",Transferred barangay,064526012,,184526012,,,2001-present,barangay
July - September 2017,"Bgy. Lantad, Silay City, Negros Occidental",Transferred barangay,064526013,,184526013,,,2001-present,barangay
July - September 2017,"Bgy. Mambulac, Silay City, Negros Occidental",Transferred barangay,064526015,,184526015,,,2001-present,barangay
July - September 2017,"Bgy. Rizal, Silay City, Negros Occidental",Transferred barangay,064526016,,184526016,,,2001-present,barangay
July - September 2017,"Bgy. Bagtic, Silay City, Negros Occidental",Transferred barangay,064526017,,184526017,,,2001-present,barangay
July - September 2017,"Bgy. Patag, Silay City, Negros Occidental",Transferred barangay,064526018,,184526018,,,2001-present,barangay
July - September 2017,"City of Sipalay, Negros Occidental",Transferred city,064527000,,184527000,,,2001-present,city_muni
July - September 2017,"Barangay 1 (Pob.), City of Sipalay, Negros Occidental",Transferred barangay,064527001,,184527001,,,2001-present,barangay
July - September 2017,"Barangay 2 (Pob.), City of Sipalay, Negros Occidental",Transferred barangay,064527002,,184527002,,,2001-present,barangay
July - September 2017,"Barangay 3 (Pob.), City of Sipalay, Negros Occidental",Transferred barangay,064527003,,184527003,,,2001-present,barangay
July - September 2017,"Barangay 4 (Pob.), City of Sipalay, Negros Occidental",Transferred barangay,064527004,,184527004,,,2001-present,barangay
July - September 2017,"Barangay 5 (Pob.), City of Sipalay, Negros Occidental",Transferred barangay,064527005,,184527005,,,2001-present,barangay
July - September 2017,"Bgy. Cabadiangan, City of Sipalay, Negros Occidental",Transferred barangay,064527006,,184527006,,,2001-present,barangay
July - September 2017,"Bgy. Camindangan, City of Sipalay, Negros Occidental",Transferred barangay,064527007,,184527007,,,2001-present,barangay
July - September 2017,"Bgy. Canturay, City of Sipalay, Negros Occidental",Transferred barangay,064527008,,184527008,,,2001-present,barangay
July - September 2017,"Bgy. Cartagena, City of Sipalay, Negros Occidental",Transferred barangay,064527009,,184527009,,,2001-present,barangay
July - September 2017,"Bgy. Cayhagan, City of Sipalay, Negros Occidental",Transferred barangay,064527010,,184527010,,,2001-present,barangay
July - September 2017,"Bgy. Gil Montilla, City of Sipalay, Negros Occidental",Transferred barangay,064527011,,184527011,,,2001-present,barangay
July - September 2017,"Bgy. Mambaroto, City of Sipalay, Negros Occidental",Transferred barangay,064527012,,184527012,,,2001-present,barangay
July - September 2017,"Bgy. Manlucahoc, City of Sipalay, Negros Occidental",Transferred barangay,064527013,,184527013,,,2001-present,barangay
July - September 2017,"Bgy. Maricalum, City of Sipalay, Negros Occidental",Transferred barangay,064527014,,184527014,,,2001-present,barangay
July - September 2017,"Bgy. Nabulao, City of Sipalay, Negros Occidental",Transferred barangay,064527015,,184527015,,,2001-present,barangay
July - September 2017,"Bgy. Nauhang, City of Sipalay, Negros Occidental",Transferred barangay,064527016,,184527016,,,2001-present,barangay
July - September 2017,"Bgy. San Jose, City of Sipalay, Negros Occidental",Transferred barangay,064527017,,184527017,,,2001-present,barangay
July - September 2017,"City of Talisay, Negros Occidental",Transferred city,064528000,,184528000,,,2001-present,city_muni
July - September 2017,"Bgy. Bubog, City of Talisay, Negros Occidental",Transferred barangay,064528001,,184528001,,,2001-present,barangay
July - September 2017,"Bgy. Cabatangan, City of Talisay, Negros Occidental",Transferred barangay,064528002,,184528002,,,2001-present,barangay
July - September 2017,"Bgy. Zone 4-A (Pob.), City of Talisay, Negros Occidental",Transferred barangay,064528003,,184528003,,,2001-present,barangay
July - September 2017,"Bgy. Zone 4 (Pob.), City of Talisay, Negros Occidental",Transferred barangay,064528004,,184528004,,,2001-present,barangay
July - September 2017,"Bgy. Concepcion, City of Talisay, Negros Occidental",Transferred barangay,064528007,,184528007,,,2001-present,barangay
July - September 2017,"Bgy. Dos Hermanas, City of Talisay, Negros Occidental",Transferred barangay,064528010,,184528010,,,2001-present,barangay
July - September 2017,"Bgy. Efigenio Lizares, City of Talisay, Negros Occidental",Transferred barangay,064528011,,184528011,,,2001-present,barangay
July - September 2017,"Bgy. Zone 7 (Pob.), City of Talisay, Negros Occidental",Transferred barangay,064528012,,184528012,,,2001-present,barangay
July - September 2017,"Bgy. Zone 14-B (Pob.), City of Talisay, Negros Occidental",Transferred barangay,064528013,,184528013,,,2001-present,barangay
July - September 2017,"Bgy. Zone 12-A (Pob.), City of Talisay, Negros Occidental",Transferred barangay,064528015,,184528015,,,2001-present,barangay
July - September 2017,"Bgy. Zone 10 (Pob.), City of Talisay, Negros Occidental",Transferred barangay,064528018,,184528018,,,2001-present,barangay
July - September 2017,"Bgy. Zone 5 (Pob.), City of Talisay, Negros Occidental",Transferred barangay,064528020,,184528020,,,2001-present,barangay
July - September 2017,"Bgy. Zone 16 (Pob.), City of Talisay, Negros Occidental",Transferred barangay,064528021,,184528021,,,2001-present,barangay
July - September 2017,"Bgy. Matab-ang, City of Talisay, Negros Occidental",Transferred barangay,064528023,,184528023,,,2001-present,barangay
July - September 2017,"Bgy. Zone 9 (Pob.), City of Talisay, Negros Occidental",Transferred barangay,064528025,,184528025,,,2001-present,barangay
July - September 2017,"Bgy. Zone 6 (Pob.), City of Talisay, Negros Occidental",Transferred barangay,064528027,,184528027,,,2001-present,barangay
July - September 2017,"Bgy. Zone 14 (Pob.), City of Talisay, Negros Occidental",Transferred barangay,064528029,,184528029,,,2001-present,barangay
July - September 2017,"Bgy. San Fernando, City of Talisay, Negros Occidental",Transferred barangay,064528030,,184528030,,,2001-present,barangay
July - September 2017,"Bgy. Zone 15 (Pob.), City of Talisay, Negros Occidental",Transferred barangay,064528032,,184528032,,,2001-present,barangay
July - September 2017,"Bgy. Zone 14-A (Pob.), City of Talisay, Negros Occidental",Transferred barangay,064528033,,184528033,,,2001-present,barangay
July - September 2017,"Bgy. Zone 11 (Pob.), City of Talisay, Negros Occidental",Transferred barangay,064528034,,184528034,,,2001-present,barangay
July - September 2017,"Bgy. Zone 8 (Pob.), City of Talisay, Negros Occidental",Transferred barangay,064528035,,184528035,,,2001-present,barangay
July - September 2017,"Bgy. Zone 12 (Pob.), City of Talisay, Negros Occidental",Transferred barangay,064528038,,184528038,,,2001-present,barangay
July - September 2017,"Bgy. Zone 1 (Pob.), City of Talisay, Negros Occidental",Transferred barangay,064528040,,184528040,,,2001-present,barangay
July - September 2017,"Bgy. Zone 2 (Pob.), City of Talisay, Negros Occidental",Transferred barangay,064528041,,184528041,,,2001-present,barangay
July - September 2017,"Bgy. Zone 3 (Pob.), City of Talisay, Negros Occidental",Transferred barangay,064528042,,184528042,,,2001-present,barangay
July - September 2017,"Bgy. Katilingban, City of Talisay, Negros Occidental",Transferred barangay,064528043,,184528043,,,2001-present,barangay
July - September 2017,"Toboso, Negros Occidental",Transferred municipality,064529000,,184529000,,,2001-present,city_muni
July - September 2017,"Bgy. Bandila, Toboso, Negros Occidental",Transferred barangay,064529001,,184529001,,,2001-present,barangay
July - September 2017,"Bgy. Bug-ang, Toboso, Negros Occidental",Transferred barangay,064529002,,184529002,,,2001-present,barangay
July - September 2017,"Bgy. General Luna, Toboso, Negros Occidental",Transferred barangay,064529003,,184529003,,,2001-present,barangay
July - September 2017,"Bgy. Magticol, Toboso, Negros Occidental",Transferred barangay,064529004,,184529004,,,2001-present,barangay
July - September 2017,"Bgy. Poblacion, Toboso, Negros Occidental",Transferred barangay,064529005,,184529005,,,2001-present,barangay
July - September 2017,"Bgy. Salamanca, Toboso, Negros Occidental",Transferred barangay,064529006,,184529006,,,2001-present,barangay
July - September 2017,"Bgy. San Isidro, Toboso, Negros Occidental",Transferred barangay,064529007,,184529007,,,2001-present,barangay
July - September 2017,"Bgy. San Jose, Toboso, Negros Occidental",Transferred barangay,064529008,,184529008,,,2001-present,barangay
July - September 2017,"Bgy. Tabun-ac, Toboso, Negros Occidental",Transferred barangay,064529009,,184529009,,,2001-present,barangay
July - September 2017,"Valladolid, Negros Occidental",Transferred municipality,064530000,,184530000,,,2001-present,
July - September 2017,"Bgy. Alijis, Valladolid, Negros Occidental",Transferred barangay,064530001,,184530001,,,2001-present,barangay
July - September 2017,"Bgy. Ayungon, Valladolid, Negros Occidental",Transferred barangay,064530002,,184530002,,,2001-present,barangay
July - September 2017,"Bgy. Bagumbayan, Valladolid, Negros Occidental",Transferred barangay,064530003,,184530003,,,2001-present,barangay
July - September 2017,"Bgy. Batuan, Valladolid, Negros Occidental",Transferred barangay,064530004,,184530004,,,2001-present,barangay
July - September 2017,"Bgy. Bayabas, Valladolid, Negros Occidental",Transferred barangay,064530005,,184530005,,,2001-present,barangay
July - September 2017,"Bgy. Central Tabao, Valladolid, Negros Occidental",Transferred barangay,064530006,,184530006,,,2001-present,barangay
July - September 2017,"Bgy. Doldol, Valladolid, Negros Occidental",Transferred barangay,064530007,,184530007,,,2001-present,barangay
July - September 2017,"Bgy. Guintorilan, Valladolid, Negros Occidental",Transferred barangay,064530008,,184530008,,,2001-present,barangay
July - September 2017,"Bgy. Lacaron, Valladolid, Negros Occidental",Transferred barangay,064530010,,184530010,,,2001-present,barangay
July - September 2017,"Bgy. Mabini, Valladolid, Negros Occidental",Transferred barangay,064530011,,184530011,,,2001-present,barangay
July - September 2017,"Bgy. Pacol, Valladolid, Negros Occidental",Transferred barangay,064530012,,184530012,,,2001-present,barangay
July - September 2017,"Bgy. Palaka, Valladolid, Negros Occidental",Transferred barangay,064530013,,184530013,,,2001-present,barangay
July - September 2017,"Bgy. Paloma, Valladolid, Negros Occidental",Transferred barangay,064530014,,184530014,,,2001-present,barangay
July - September 2017,"Bgy. Poblacion, Valladolid, Negros Occidental",Transferred barangay,064530015,,184530015,,,2001-present,barangay
July - September 2017,"Bgy. Sagua Banua, Valladolid, Negros Occidental",Transferred barangay,064530016,,184530016,,,2001-present,barangay
July - September 2017,"Bgy. Tabao Proper, Valladolid, Negros Occidental",Transferred barangay,064530017,,184530017,,,2001-present,barangay
July - September 2017,"City of Victorias, Negros Occidental",Transferred city,064531000,,184531000,,,2001-present,city_muni
July - September 2017,"Barangay I (Pob.), City of Victorias, Negros Occidental",Transferred barangay,064531004,,184531004,,,2001-present,barangay
July - September 2017,"Barangay II (Pob.), City of Victorias, Negros Occidental",Transferred barangay,064531005,,184531005,,,2001-present,barangay
July - September 2017,"Barangay III (Pob.), City of Victorias, Negros Occidental",Transferred barangay,064531006,,184531006,,,2001-present,barangay
July - September 2017,"Barangay IV (Pob.), City of Victorias, Negros Occidental",Transferred barangay,064531007,,184531007,,,2001-present,barangay
July - September 2017,"Barangay V (Pob.), City of Victorias, Negros Occidental",Transferred barangay,064531008,,184531008,,,2001-present,barangay
July - September 2017,"Barangay VI (Pob.), City of Victorias, Negros Occidental",Transferred barangay,064531009,,184531009,,,2001-present,barangay
July - September 2017,"Barangay VII (Pob.), City of Victorias, Negros Occidental",Transferred barangay,064531010,,184531010,,,2001-present,barangay
July - September 2017,"Barangay VIII (Pob.), City of Victorias, Negros Occidental",Transferred barangay,064531011,,184531011,,,2001-present,barangay
July - September 2017,"Barangay IX (Daan Banwa), City of Victorias, Negros Occidental",Transferred barangay,064531012,,184531012,,,2001-present,barangay
July - September 2017,"Barangay X (Estado), City of Victorias, Negros Occidental",Transferred barangay,064531013,,184531013,,,2001-present,barangay
July - September 2017,"Barangay XI (Gawahon), City of Victorias, Negros Occidental",Transferred barangay,064531014,,184531014,,,2001-present,barangay
July - September 2017,"Barangay XII, City of Victorias, Negros Occidental",Transferred barangay,064531015,,184531015,,,2001-present,barangay
July - September 2017,"Barangay XIII, City of Victorias, Negros Occidental",Transferred barangay,064531016,,184531016,,,2001-present,barangay
July - September 2017,"Barangay XIV, City of Victorias, Negros Occidental",Transferred barangay,064531017,,184531017,,,2001-present,barangay
July - September 2017,"Barangay XV, City of Victorias, Negros Occidental",Transferred barangay,064531018,,184531018,,,2001-present,barangay
July - September 2017,"Barangay XV-A, City of Victorias, Negros Occidental",Transferred barangay,064531019,,184531019,,,2001-present,barangay
July - September 2017,"Barangay XVI, City of Victorias, Negros Occidental",Transferred barangay,064531020,,184531020,,,2001-present,barangay
July - September 2017,"Barangay XVI-A, City of Victorias, Negros Occidental",Transferred barangay,064531021,,184531021,,,2001-present,barangay
July - September 2017,"Barangay XVII, City of Victorias, Negros Occidental",Transferred barangay,064531022,,184531022,,,2001-present,barangay
July - September 2017,"Barangay XVIII, City of Victorias, Negros Occidental",Transferred barangay,064531023,,184531023,,,2001-present,barangay
July - September 2017,"Barangay XVIII-A, City of Victorias, Negros Occidental",Transferred barangay,064531024,,184531024,,,2001-present,barangay
July - September 2017,"Barangay XIX, City of Victorias, Negros Occidental",Transferred barangay,064531025,,184531025,,,2001-present,barangay
July - September 2017,"Barangay XIX-A, City of Victorias, Negros Occidental",Transferred barangay,064531026,,184531026,,,2001-present,barangay
July - September 2017,"Barangay XX, City of Victorias, Negros Occidental",Transferred barangay,064531027,,184531027,,,2001-present,barangay
July - September 2017,"Barangay XXI, City of Victorias, Negros Occidental",Transferred barangay,064531028,,184531028,,,2001-present,barangay
July - September 2017,"Barangay VI-A, City of Victorias, Negros Occidental",Transferred barangay,064531029,,184531029,,,2001-present,barangay
July - September 2017,"Salvador Benedicto, Negros Occidental",Transferred municipality,064532000,,184532000,,,2001-present,city_muni
July - September 2017,"Bgy. Bago (Lalung), Salvador Benedicto, Negros Occidental",Transferred barangay,064532001,,184532001,,,2001-present,barangay
July - September 2017,"Bgy. Bagong Silang (Marcelo), Salvador Benedicto, Negros Occidental",Transferred barangay,064532002,,184532002,,,2001-present,barangay
July - September 2017,"Bgy. Bunga, Salvador Benedicto, Negros Occidental",Transferred barangay,064532003,,184532003,,,2001-present,barangay
July - September 2017,"Bgy. Igmaya-an, Salvador Benedicto, Negros Occidental",Transferred barangay,064532004,,184532004,,,2001-present,barangay
July - September 2017,"Bgy. Kumaliskis, Salvador Benedicto, Negros Occidental",Transferred barangay,064532005,,184532005,,,2001-present,barangay
July - September 2017,"Bgy. Pandanon, Salvador Benedicto, Negros Occidental",Transferred barangay,064532006,,184532006,,,2001-present,barangay
July - September 2017,"Bgy. Pinowayan (Prosperidad), Salvador Benedicto, Negros Occidental",Transferred barangay,064532007,,184532007,,,2001-present,barangay
July - September 2017,"Negros Oriental, Region VII (Central Visayas)",Transferred province,074600000,,184600000,,,2001-present,
July - September 2017,"Amlan (Ayuquitan), Negros Oriental",Transferred municipality,074601000,,184601000,,,2001-present,city_muni
July - September 2017,"Bgy. Bio-os, Amlan (Ayuquitan), Negros Oriental",Transferred barangay,074601001,,184601001,,,2001-present,barangay
July - September 2017,"Bgy. Jantianon, Amlan (Ayuquitan), Negros Oriental",Transferred barangay,074601002,,184601002,,,2001-present,barangay
July - September 2017,"Bgy. Jugno, Amlan (Ayuquitan), Negros Oriental",Transferred barangay,074601003,,184601003,,,2001-present,barangay
July - September 2017,"Bgy. Mag-abo, Amlan (Ayuquitan), Negros Oriental",Transferred barangay,074601004,,184601004,,,2001-present,barangay
July - September 2017,"Bgy. Poblacion, Amlan (Ayuquitan), Negros Oriental",Transferred barangay,074601005,,184601005,,,2001-present,barangay
July - September 2017,"Bgy. Silab, Amlan (Ayuquitan), Negros Oriental",Transferred barangay,074601006,,184601006,,,2001-present,barangay
July - September 2017,"Bgy. Tambojangin, Amlan (Ayuquitan), Negros Oriental",Transferred barangay,074601007,,184601007,,,2001-present,barangay
July - September 2017,"Bgy. Tandayag, Amlan (Ayuquitan), Negros Oriental",Transferred barangay,074601008,,184601008,,,2001-present,barangay
July - September 2017,"Ayungon, Negros Oriental",Transferred municipality,074602000,,184602000,,,2001-present,city_muni
July - September 2017,"Bgy. Amdus, Ayungon, Negros Oriental",Transferred barangay,074602001,,184602001,,,2001-present,barangay
July - September 2017,"Bgy. Jandalamanon, Ayungon, Negros Oriental",Transferred barangay,074602002,,184602002,,,2001-present,barangay
July - September 2017,"Bgy. Anibong, Ayungon, Negros Oriental",Transferred barangay,074602003,,184602003,,,2001-present,barangay
July - September 2017,"Bgy. Atabay, Ayungon, Negros Oriental",Transferred barangay,074602004,,184602004,,,2001-present,barangay
July - September 2017,"Bgy. Awa-an, Ayungon, Negros Oriental",Transferred barangay,074602005,,184602005,,,2001-present,barangay
July - September 2017,"Bgy. Ban-ban, Ayungon, Negros Oriental",Transferred barangay,074602006,,184602006,,,2001-present,barangay
July - September 2017,"Bgy. Calagcalag, Ayungon, Negros Oriental",Transferred barangay,074602007,,184602007,,,2001-present,barangay
July - September 2017,"Bgy. Candana-ay, Ayungon, Negros Oriental",Transferred barangay,074602008,,184602008,,,2001-present,barangay
July - September 2017,"Bgy. Carol-an, Ayungon, Negros Oriental",Transferred barangay,074602009,,184602009,,,2001-present,barangay
July - September 2017,"Bgy. Gomentoc, Ayungon, Negros Oriental",Transferred barangay,074602010,,184602010,,,2001-present,barangay
July - September 2017,"Bgy. Inacban, Ayungon, Negros Oriental",Transferred barangay,074602011,,184602011,,,2001-present,barangay
July - September 2017,"Bgy. Iniban, Ayungon, Negros Oriental",Transferred barangay,074602012,,184602012,,,2001-present,barangay
July - September 2017,"Bgy. Kilaban, Ayungon, Negros Oriental",Transferred barangay,074602013,,184602013,,,2001-present,barangay
July - September 2017,"Bgy. Lamigan, Ayungon, Negros Oriental",Transferred barangay,074602014,,184602014,,,2001-present,barangay
July - September 2017,"Bgy. Maaslum, Ayungon, Negros Oriental",Transferred barangay,074602015,,184602015,,,2001-present,barangay
July - September 2017,"Bgy. Mabato, Ayungon, Negros Oriental",Transferred barangay,074602016,,184602016,,,2001-present,barangay
July - September 2017,"Bgy. Manogtong, Ayungon, Negros Oriental",Transferred barangay,074602017,,184602017,,,2001-present,barangay
July - September 2017,"Bgy. Nabhang, Ayungon, Negros Oriental",Transferred barangay,074602018,,184602018,,,2001-present,barangay
July - September 2017,"Bgy. Tambo, Ayungon, Negros Oriental",Transferred barangay,074602019,,184602019,,,2001-present,barangay
July - September 2017,"Bgy. Tampocon I, Ayungon, Negros Oriental",Transferred barangay,074602020,,184602020,,,2001-present,barangay
July - September 2017,"Bgy. Tampocon II, Ayungon, Negros Oriental",Transferred barangay,074602021,,184602021,,,2001-present,barangay
July - September 2017,"Bgy. Tibyawan, Ayungon, Negros Oriental",Transferred barangay,074602022,,184602022,,,2001-present,barangay
July - September 2017,"Bgy. Tiguib, Ayungon, Negros Oriental",Transferred barangay,074602023,,184602023,,,2001-present,barangay
July - September 2017,"Bgy. Poblacion, Ayungon, Negros Oriental",Transferred barangay,074602024,,184602024,,,2001-present,barangay
July - September 2017,"Bacong, Negros Oriental",Transferred municipality,074603000,,184603000,,,2001-present,city_muni
July - September 2017,"Bgy. Balayagmanok, Bacong, Negros Oriental",Transferred barangay,074603001,,184603001,,,2001-present,barangay
July - September 2017,"Bgy. Banilad, Bacong, Negros Oriental",Transferred barangay,074603002,,184603002,,,2001-present,barangay
July - September 2017,"Bgy. Buntis, Bacong, Negros Oriental",Transferred barangay,074603003,,184603003,,,2001-present,barangay
July - September 2017,"Bgy. Buntod, Bacong, Negros Oriental",Transferred barangay,074603004,,184603004,,,2001-present,barangay
July - September 2017,"Bgy. Calangag, Bacong, Negros Oriental",Transferred barangay,074603005,,184603005,,,2001-present,barangay
July - September 2017,"Bgy. Combado, Bacong, Negros Oriental",Transferred barangay,074603006,,184603006,,,2001-present,barangay
July - September 2017,"Bgy. Doldol, Bacong, Negros Oriental",Transferred barangay,074603007,,184603007,,,2001-present,barangay
July - September 2017,"Bgy. Isugan, Bacong, Negros Oriental",Transferred barangay,074603008,,184603008,,,2001-present,barangay
July - September 2017,"Bgy. Liptong, Bacong, Negros Oriental",Transferred barangay,074603009,,184603009,,,2001-present,barangay
July - September 2017,"Bgy. Lutao, Bacong, Negros Oriental",Transferred barangay,074603010,,184603010,,,2001-present,barangay
July - September 2017,"Bgy. Magsuhot, Bacong, Negros Oriental",Transferred barangay,074603011,,184603011,,,2001-present,barangay
July - September 2017,"Bgy. Malabago, Bacong, Negros Oriental",Transferred barangay,074603012,,184603012,,,2001-present,barangay
