period,name,change_type,new_code9,mother_or_old_name,old_code9,legal_basis,remarks,sheet,level
July - September 2019,"Barangay Sta. Cruz, Municipality of Ibajay, Aklan",Correction of name,0600406031,Santa Cruz,0600406031,Certification signed by Municipal Mayor dated 11 May 2023,,2001-present,barangay
July - September 2019,"Barangay Dalagsaan, Municipality of Libacao, Aklan",Correction of name,0600409009,Dalagsa-an,0600409009,Certification signed by Municipal Mayor dated 01 June 2023,,2001-present,barangay
July - September 2019,"Barangay Can-awan, Municipality of Libacao, Aklan",Correction of name,0600409007,Can-Awan,0600409007,Certification signed by Municipal Mayor dated 01 June 2023,,2001-present,barangay
July - September 2019,"City of Carmona, Cavite",New City,0402104000,Municipality of Carmona,0402104000,RA 11938; plebiscite conducted on 08 July 2023,,2001-present,city_muni
July - September 2019,"Barangay Sinbanali, City of Bacoor, Cavite",Merging of barangays,0402103089,Sineguelasan,0402103022,City Ordinance No. 275-2023 dated 28 March 2023; Plebiscites conducted on 29 July 2023; Certification signed by City Mayor dated 14 August 2023,,2001-present,barangay
July - September 2019,"Barangay Salinas 2, City of Bacoor, Cavite",Merging of barangays,0402103088,Salinas II,0402103061,,,2001-present,barangay
July - September 2019,"Barangay Mabolo, City of Bacoor, Cavite",Merging of barangays,0402103080,Mabolo I,0402103011,,,2001-present,barangay
July - September 2019,"Barangay Poblacion, City of Bacoor, Cavite",Merging of barangays,0402103086,Tabing Dagat,0402103023,,,2001-present,barangay
July - September 2019,"Barangay P.F. Espiritu 2, City of Bacoor, Cavite",Merging of barangays,0402103084,P.F. Espiritu II,0402103053,,,2001-present,barangay
July - September 2019,"Barangay Aniban 2, City of Bacoor, Cavite",Merging of barangays,0402103077,Aniban II,0402103029,,,2001-present,barangay
July - September 2019,"Barangay Mambog 2, City of Bacoor, Cavite",Merging of barangays,0402103082,Mambog II,0402103041,,,2001-present,barangay
July - September 2019,"Barangay Talaba 1, City of Bacoor, Cavite",Merging of barangays,0402103090,Talaba I,0402103024,,,2001-present,barangay
