"Geolocation","Total Deaths Place of Usual Residence","Total Deaths Place of Occurrence","Maternal Deaths Place of Usual Residence","Maternal Deaths Place of Occurrence","Infant Deaths Place of Usual Residence","Infant Deaths Place of Occurrence"
"…...Manukan",256,216,2,0,3,4
"…...Mutia",73,45,0,0,2,2
"…...Piñan",132,122,0,0,1,0
"…...Polanco",287,160,1,0,5,1
"…...Pres. Manuel A. Roxas",233,166,0,0,5,4
"…...Rizal",128,85,0,0,3,0
"…...Salug",233,140,0,0,4,1
"…...Sergio Osmeña Sr.",169,117,0,0,2,0
"…...Siayan",147,120,0,0,5,2
"…...Sibuco",112,76,1,0,3,0
"…...Sibutad",140,110,0,0,1,0
"…...Sindangan",666,564,1,0,12,11
"…...Siocon",163,148,2,3,4,2
"…...Sirawai",51,34,0,0,3,0
"…...Tampilisan",113,73,0,0,4,1
"….ZAMBOANGA DEL SUR",6072,5699,17,15,111,79
"…...Aurora",361,256,0,0,6,2
"…...Bayog",164,130,1,1,3,1
"…...Dimataling",160,122,0,0,1,1
"…...Dinas",151,113,0,0,1,0
"…...Dumalinao",197,131,1,0,2,0
"…...Dumingag",260,171,2,1,4,1
"…...Guipos",140,95,0,0,4,0
"…...Josefina",70,56,0,0,2,1
"…...Kumalarang",133,90,2,0,4,1
"…...Labangan",254,173,0,0,4,0
"…...Lakewood",95,63,0,0,5,1
"…...Lapuyan",158,103,1,1,2,0
"…...Mahayag",296,218,2,1,8,0
"…...Margosatubig",282,761,1,3,4,26
"…...Midsalip",175,124,0,0,2,0
"…...Molave",343,249,1,0,6,3
"…...City of Pagadian",1220,1727,1,7,21,35
"…...Pitogo",157,119,1,0,2,0
"…...Ramon Magsaysay",214,144,1,0,5,1
"…...San Miguel",111,65,0,0,1,0
"…...San Pablo",141,109,1,0,0,0
"…...Sominot",95,73,1,1,1,0
"…...Tabina",147,97,0,0,1,1
"…...Tambulig",208,136,0,0,11,2
"…...Tigbao",132,99,1,0,3,0
"…...Tukuran",253,174,0,0,5,2
"…...Vincenzo A. Sagun",155,101,0,0,3,1
"….ZAMBOANGA SIBUGAY",3529,3172,13,6,67,57
"…...Alicia",161,138,1,0,3,2
"…...Buug",258,190,0,0,3,0
"…...Diplahan",169,138,1,1,4,2
"…...Imelda",155,119,2,0,3,1
"…...Ipil",562,900,1,4,17,36
"…...Kabasalan",331,250,1,0,11,4
"…...Mabuhay",88,57,1,0,0,0
"…...Malangas",196,152,3,0,5,4
"…...Naga",272,180,0,0,4,1
"…...Olutanga",105,117,0,0,0,0
"…...Payao",145,93,0,0,0,0
"…...Roseller Lim",246,222,1,1,2,1
"…...Siay",231,163,1,0,3,1
"…...Talusan",70,57,0,0,0,0
"…...Titay",302,221,0,0,9,4
"…...Tungawan",238,175,1,0,3,1
"….CITY OF ISABELA",533,600,3,4,8,19
"….CITY OF ZAMBOANGA",6941,7341,20,25,294,322
"REGION X (NORTHERN MINDANAO)",32038,32292,93,90,1069,1102
"….BUKIDNON",9453,8731,36,35,410,368
"…...Baungon",228,130,0,0,16,7
"…...Cabanglasan",203,132,1,0,9,3
"…...Damulog",179,79,1,0,7,2
"…...Dangcagan",184,70,0,0,5,0
"…...Don Carlos",501,464,0,0,21,13
"…...Impasug-ong",296,174,2,0,13,1
"…...Kadingilan",202,103,0,0,7,1
"…...Kalilangan",257,217,2,1,12,5
"…...Kibawe",280,604,1,3,7,29
"…...Kitaotao",276,145,2,0,11,2
"…...Lantapan",398,238,0,0,21,5
"…...Libona",298,172,1,0,12,4
"…...City of Malaybalay",1263,1733,2,12,62,111
"…...Malitbog",168,133,0,0,9,5
"…...Manolo Fortich",673,573,0,1,26,21
"…...Maramag",746,1153,4,5,27,88
"…...Pangantucan",337,217,1,0,17,7
"…...Quezon",713,520,3,3,37,17
"…...San Fernando",318,228,3,2,9,4
"…...Sumilao",171,113,3,0,7,4
"…...Talakag",342,263,4,4,8,3
"…...City of Valencia",1420,1270,6,4,67,36
"….CAMIGUIN",700,635,0,0,17,14
"…...Catarman",135,82,0,0,3,1
"…...Guinsiliban",36,15,0,0,2,1
"…...Mahinog",114,53,0,0,3,0
"…...Mambajao",330,445,0,0,5,12
"…...Sagay",85,40,0,0,4,0
"….LANAO DEL NORTE",2903,2447,8,3,57,40
"…...Bacolod",157,115,0,0,1,0
"…...Baloi",72,51,1,1,3,1
"…...Baroy",174,337,0,0,6,17
"…...Kapatagan",384,388,2,0,6,13
"…...Kauswagan",149,113,2,0,3,1
"…...Kolambugan",191,172,0,0,1,0
"…...Lala",519,408,1,1,9,1
"…...Linamon",129,71,0,0,2,0
"…...Magsaysay",44,26,0,0,2,1
"…...Maigo",181,103,1,1,5,1
"…...Matungao",20,18,0,0,1,0
"…...Munai",19,20,0,0,0,0
"…...Nunungan",6,4,0,0,0,0
"…...Pantao Ragat",29,27,0,0,0,0
"…...Pantar",39,36,0,0,0,0
"…...Poona Piagapo",17,15,0,0,0,0
"…...Salvador",127,76,0,0,2,2
"…...Sapad",83,64,0,0,2,1
"…...Sultan Naga Dimaporo",163,114,0,0,8,0
"…...Tagoloan",20,17,0,0,1,1
"…...Tangcal",9,7,0,0,1,0
"…...Tubod",371,265,1,0,4,1
"….MISAMIS OCCIDENTAL",5006,5521,12,14,132,168
"…...Aloran",249,119,1,0,7,0
"…...Baliangao",138,68,1,0,4,0
"…...Bonifacio",223,151,0,0,5,0
"…...Calamba",228,247,0,0,4,2
"…...Clarin",291,151,1,0,8,2
"…...Concepcion",24,17,0,0,1,1
"…...Don Victoriano Chiongbian",51,38,2,1,2,1
"…...Jimenez",246,188,1,0,1,1
"…...Lopez Jaena",243,128,0,0,7,0
"…...City of Oroquieta",711,972,0,1,13,23
"…...City of Ozamiz",1088,2438,2,10,34,128
"…...Panaon",96,52,0,0,3,0
"…...Plaridel",367,239,1,0,10,6
"…...Sapang Dalaga",164,80,2,1,4,0
"…...Sinacaban",170,94,0,0,2,0
"…...City of Tangub",481,375,1,1,20,3
"…...Tudela",236,164,0,0,7,1
"….MISAMIS ORIENTAL",6542,4814,13,6,216,110
"…...Alubijid",224,236,0,0,8,10
"…...Balingasag",524,553,1,2,16,15
"…...Balingoan",72,25,0,0,0,0
"…...Binuangan",59,22,0,0,0,0
"…...Claveria",246,165,1,0,3,1
"…...City of El Salvador",379,218,0,0,18,3
"…...City of Gingoog",900,807,2,2,45,28
"…...Gitagum",141,88,0,0,4,0
"…...Initao",310,303,1,0,13,12
"…...Jasaan",419,311,1,0,10,3
"…...Kinoguitan",102,47,0,0,6,0
"…...Lagonglong",172,80,1,0,9,1
"…...Laguindingan",216,110,0,0,6,0
"…...Libertad",101,48,0,0,2,0
"…...Lugait",148,68,1,0,6,1
"…...Magsaysay",198,146,0,0,5,3
"…...Manticao",242,227,0,0,6,4
"…...Medina",256,194,0,0,3,4
"…...Naawan",175,79,0,0,6,0
"…...Opol",377,207,1,0,5,3
"…...Salay",217,119,0,0,3,1
"…...Sugbongcogon",68,33,0,0,2,0
"…...Tagoloan",521,367,3,2,23,9
"…...Talisayan",195,213,0,0,6,9
"…...Villanueva",280,148,1,0,11,3
"….CITY OF CAGAYAN DE ORO",4831,7536,14,22,139,299
"….CITY OF ILIGAN",2603,2608,10,10,98,103
"REGION XI (DAVAO REGION)",35377,36578,79,86,1014,1078
"….DAVAO DE ORO",5238,3629,13,6,179,49
"…...Compostela",613,315,0,0,18,1
"…...Laak",445,335,3,2,23,10
"…...Mabini",336,169,2,0,9,0
"…...Maco",655,386,3,0,21,3
"…...Maragusan",380,267,1,1,23,10
"…...Mawab",316,191,0,0,8,0
"…...Monkayo",654,354,1,0,20,2
"…...Montevista",275,519,0,2,14,11
"…...Nabunturan",604,375,1,0,10,0
"…...New Bataan",331,182,1,0,8,1
"…...Pantukan",629,536,1,1,25,11
"….DAVAO DEL NORTE",7629,10414,16,27,255,456
"…...Asuncion",417,220,0,0,14,1
"…...Braulio E. Dujali",184,270,0,0,4,0
"…...Carmen",648,503,2,0,26,9
"…...Kapalong",519,488,3,2,17,9
"…...New Corella",371,215,1,0,8,0
"…...City of Panabo",1377,965,1,1,48,10
"…...Island Garden City of Samal",920,739,3,2,23,11
"…...San Isidro",187,117,1,0,6,4
"…...Santo Tomas",811,472,1,0,24,3
"…...City of Tagum",2052,6333,3,22,75,400
"…...Talaingod",143,92,1,0,10,9
"….DAVAO DEL SUR",4935,4816,7,6,142,127
"…...Bansalan",477,445,0,0,11,9
"…...City of Digos",1371,2258,2,5,46,103
"…...Hagonoy",435,267,0,0,11,1
"…...Kiblawan",283,197,1,0,6,0
"…...Magsaysay",395,274,0,0,11,2
"…...Malalag",348,250,0,0,9,1
"…...Matanao",404,273,1,0,10,1
"…...Padada",272,251,2,0,7,3
"…...Santa Cruz",678,433,1,1,23,5
"…...Sulop",272,168,0,0,8,2
"….DAVAO OCCIDENTAL",1680,1385,4,2,41,22
"…...Don Marcelino",253,190,0,0,11,4
"…...Jose Abad Santos",176,113,1,1,3,2
"…...Malita",741,697,2,1,19,14
"…...Santa Maria",408,293,1,0,8,2
"…...Sarangani",102,92,0,0,0,0
"….DAVAO ORIENTAL",4145,3405,9,7,89,46
"…...Baganga",426,334,0,0,7,2
"…...Banaybanay",345,166,0,0,13,0
"…...Boston",92,62,0,0,2,2
"…...Caraga",270,161,0,0,4,1
"…...Cateel",304,227,0,0,6,5
"…...Governor Generoso",436,298,0,0,14,3
"…...Lupon",463,410,0,0,9,6
"…...Manay",279,194,2,0,4,1
"…...City of Mati",1083,1299,5,7,20,25
"…...San Isidro",293,177,1,0,9,1
"…...Tarragona",154,77,1,0,1,0
"….CITY OF DAVAO",11750,12929,30,38,308,378
"REGION XII (SOCCSKSARGEN)",26883,26222,84,77,614,586
"….COTABATO",9010,8521,38,31,185,164
"…...Alamada",347,267,4,1,3,2
"…...Aleosan",268,209,1,1,10,4
"…...Antipas",193,202,0,0,1,1
"…...Arakan",247,167,1,0,4,1
"…...Banisilan",224,176,1,0,5,1
"…...Carmen",517,451,4,3,20,14
"…...Kabacan",607,635,6,5,21,16
"…...City of Kidapawan",1135,1639,4,11,20,46
"…...Libungan",425,437,2,1,3,6
"…...Magpet",328,202,2,0,4,1
"…...Makilala",595,470,0,0,9,5
"…...Matalam",581,406,2,0,13,5
"…...Midsayap",953,1055,1,5,19,28
"…...M'lang",762,741,1,1,12,10
"…...Pigkawayan",427,283,0,0,6,2
"…...Pikit",637,575,4,2,19,13
"…...President Roxas",328,250,3,0,6,3
"…...Tulunan",436,356,2,1,10,6
"….SARANGANI",3021,2650,9,5,45,32
"…...Alabel",461,529,0,2,9,13
"…...Glan",571,507,2,1,11,5
"…...Kiamba",376,363,1,0,3,2
"…...Maasim",322,258,4,1,2,1
"…...Maitum",265,224,0,0,6,3
"…...Malapatan",420,275,0,0,7,4
"…...Malungon",606,494,2,1,7,4
"….SOUTH COTABATO",6803,6506,22,19,183,168
"…...Banga",702,421,2,0,14,3
"…...City of Koronadal",1520,2553,3,11,40,120
"…...Lake Sebu",365,239,4,0,8,1
"…...Norala",413,408,0,0,15,7
"…...Polomolok",1183,902,1,1,40,16
"…...Santo Niño",309,197,1,0,2,1
"…...Surallah",685,718,2,4,15,10
"…...Tampakan",268,158,1,0,8,2
"…...Tantangan",328,196,0,0,8,1
"…...T'boli",482,323,5,1,20,6
"…...Tupi",548,391,3,2,13,1
"….SULTAN KUDARAT",4122,4037,7,10,94,90
"…...Bagumbayan",432,257,0,0,7,1
"…...Columbio",158,120,0,0,2,1
"…...Esperanza",417,346,1,0,13,1
"…...Isulan",644,1209,1,6,20,63
"…...Kalamansig",213,142,0,0,0,0
"…...Lambayong",370,269,0,0,4,0
"…...Lebak",407,385,0,0,5,5
"…...Lutayan",115,69,0,0,5,0
"…...Palimbang",161,121,0,0,2,1
"…...President Quirino",285,204,1,0,5,0
"…...Sen. Ninoy Aquino",193,132,0,0,6,3
"…...City of Tacurong",727,783,4,4,25,15
"….CITY OF GENERAL SANTOS",3927,4508,8,12,107,132
"REGION XIII (Caraga)",18014,17014,59,54,444,384
"….AGUSAN DEL NORTE",2519,1879,8,2,49,21
"…...Buenavista",465,267,0,0,9,3
"…...City of Cabadbaran",511,538,3,2,7,6
"…...Carmen",171,91,1,0,7,0
"…...Jabonga",174,141,0,0,3,4
"…...Kitcharao",115,95,0,0,1,1
"…...Las Nieves",172,114,1,0,1,1
"…...Magallanes",151,91,1,0,0,0
"…...Nasipit",355,350,0,0,8,5
"…...Remedios T. Romualdez",121,62,1,0,5,0
"…...Santiago",119,49,0,0,6,1
"…...Tubay",165,81,1,0,2,0
"….AGUSAN DEL SUR",4089,3595,14,10,112,78
"…...City of Bayugan",626,518,3,1,11,5
"…...Bunawan",239,393,0,0,8,14
"…...Esperanza",313,223,2,2,12,1
"…...La Paz",143,113,1,0,3,3
"…...Loreto",218,184,1,0,12,7
"…...Prosperidad",528,915,1,6,11,31
"…...Rosario",288,136,0,0,14,1
"…...San Francisco",473,274,2,1,13,3
"…...San Luis",178,115,0,0,5,2
"…...Santa Josefa",149,74,1,0,1,1
"…...Sibagat",176,107,2,0,5,1
"…...Talacogon",220,230,0,0,8,8
"…...Trento",358,205,1,0,8,1
"…...Veruela",180,108,0,0,1,0
"….DINAGAT ISLANDS",841,641,1,0,15,6
"…...Basilisa",146,94,0,0,3,0
"…...Cagdianao",112,68,0,0,1,1
"…...Dinagat",116,160,0,0,4,1
"…...Libjo",124,98,0,0,2,2
"…...Loreto",85,85,1,0,0,0
"…...San Jose",221,119,0,0,5,2
"…...Tubajon",37,17,0,0,0,0
"….SURIGAO DEL NORTE",3601,3771,15,15,86,92
"…...Alegria",103,37,3,0,2,0
"…...Bacuag",101,49,0,0,2,0
"…...Burgos",32,19,0,0,1,0
"…...Claver",225,114,2,0,9,2
"…...Dapa",226,329,1,1,10,12
"…...Del Carmen",135,66,0,0,7,2
"…...General Luna",134,58,0,0,1,0
"…...Gigaquit",161,106,0,0,3,0
"…...Mainit",216,118,0,0,4,0
"…...Malimono",148,105,0,0,0,0
"…...Pilar",76,38,1,0,1,0
"…...Placer",213,278,2,0,3,2
"…...San Benito",39,18,0,0,2,0
"…...San Francisco",114,57,0,0,1,0
"…...San Isidro",55,26,0,0,1,0
"…...Santa Monica",57,44,1,1,3,1
"…...Sison",96,52,0,0,0,0
"…...Socorro",140,102,1,0,8,2
"…...City of Surigao",1076,2026,2,13,19,71
"…...Tagana-an",142,78,1,0,7,0
"…...Tubod",112,51,1,0,2,0
"….SURIGAO DEL SUR",4541,4213,16,15,130,116
"…...Barobo",359,231,1,1,10,5
"…...Bayabas",56,30,0,0,2,0
"…...City of Bislig",758,725,1,2,26,18
"…...Cagwait",176,93,0,0,4,0
"…...Cantilan",287,138,4,0,4,0
"…...Carmen",107,52,0,0,2,0
"…...Carrascal",166,118,1,0,6,1
"…...Cortes",139,91,1,0,4,0
"…...Hinatuan",311,256,0,0,6,2
"…...Lanuza",104,59,0,0,0,0
"…...Lianga",246,224,1,1,14,10
"…...Lingig",251,175,3,1,11,6
"…...Madrid",143,230,0,1,2,7
"…...Marihatag",139,201,0,0,5,9
"…...San Agustin",143,69,0,0,3,0
"…...San Miguel",234,149,0,0,8,1
"…...Tagbina",248,154,1,0,8,3
"…...Tago",284,144,2,0,8,2
"…...City of Tandag",390,1074,1,9,7,52
"….CITY OF BUTUAN",2423,2915,5,12,52,71
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)",5552,5784,27,31,109,113
"….BASILAN",678,500,3,2,20,6
"…...Akbar",16,10,0,0,0,0
"…...Al-Barka",12,11,0,0,0,0
"…...Hadji Mohammad Ajul",34,29,0,0,0,0
"…...Hadji Muhtamad",3,3,0,0,0,0
"…...City of Lamitan",354,276,2,2,11,6
"…...Lantawan",53,34,0,0,2,0
"…...Maluso",65,36,1,0,1,0
"…...Sumisip",48,28,0,0,1,0
"…...Tabuan-Lasa",1,0,0,0,1,0
"…...Tipo-tipo",18,11,0,0,0,0
"…...Tuburan",9,2,0,0,3,0
"…...Ungkaya Pukan",65,60,0,0,1,0
"….LANAO DEL SUR",1105,1256,3,4,24,26
"…...Amai Manabilang",15,7,0,0,0,0
"…...Bacolod-Kalawi",8,8,0,0,0,0
"…...Balabagan",52,42,0,0,1,1
"…...Balindong",33,29,0,0,0,0
"…...Bayang",5,3,0,0,0,0
"…...Binidayan",15,14,0,0,0,0
"…...Buadiposo-Buntong",21,19,0,0,0,0
"…...Bubong",25,19,0,0,0,0
"…...Butig",7,3,0,0,0,0
"…...Calanogas",10,9,0,0,1,0
"…...Ditsaan-Ramain",24,16,0,0,0,0
"…...Ganassi",16,11,0,0,0,0
"…...Kapai",4,4,0,0,0,0
"…...Kapatagan",14,5,0,0,0,0
"…...Lumba-Bayabao",15,8,0,0,0,0
"…...Lumbaca-Unayan",3,3,0,0,0,0
"…...Lumbatan",11,7,0,0,0,0
"…...Lumbayanague",1,2,0,0,0,0
"…...Madalum",10,8,0,0,0,0
"…...Madamba",3,1,0,0,1,0
"…...Maguing",11,8,0,0,0,0
"…...Malabang",47,48,0,0,0,0
"…...Marantao",45,18,0,0,0,0
"…...City of Marawi",254,591,2,4,4,16
"…...Marogong",8,12,0,0,0,0
"…...Masiu",23,18,0,0,0,0
"…...Mulondo",10,8,0,0,0,0
"…...Pagayawan",29,29,0,0,0,0
"…...Piagapo",13,8,0,0,0,0
"…...Picong",15,8,0,0,0,0
"…...Poona Bayabao",18,11,0,0,0,0
"…...Pualas",4,3,0,0,0,0
"…...Saguiaran",35,27,0,0,2,1
"…...Sultan Dumalondong",5,3,0,0,0,0
"…...Tagoloan II",3,2,0,0,0,0
"…...Tamparan",24,32,0,0,1,1
"…...Taraka",21,12,0,0,1,0
"…...Tubaran",4,2,0,0,0,0
"…...Tugaya",21,14,0,0,1,0
"…...Wao",223,184,1,0,12,7
"….MAGUINDANAO DEL NORTE",2650,3086,12,20,43,69
"…...Barira",13,9,0,0,0,0
"…...Buldon",36,15,0,0,1,0
"…...City of Cotabato",1578,2322,3,18,30,63
"…...Datu Blah T. Sinsuat",8,6,0,0,0,0
"…...Datu Odin Sinsuat",248,154,4,0,1,2
"…...Kabuntalan",22,8,0,0,1,0
"…...Matanog",16,16,0,0,0,0
"…...Northern Kabuntalan",19,15,0,0,0,0
"…...Parang",267,206,0,0,0,0
"…...Sultan Kudarat",191,143,2,0,4,1
"…...Sultan Mastura",54,45,0,0,1,0
"…...Talitay",11,8,0,0,1,0
"…...Upi",187,139,3,2,4,3
"….MAGUINDANAO DEL SUR",770,611,6,2,16,7
"…...Ampatuan",96,51,0,0,1,0
"…...Buluan",63,70,1,0,2,4
"…...Datu Abdullah Sangki",50,32,1,0,0,0
"…...Datu Anggal Midtimbang",12,8,0,0,0,0
"…...Datu Hoffer Ampatuan",10,56,0,0,0,1
"…...Datu Paglas",36,18,1,1,2,0
"…...Datu Piang",25,13,0,0,0,0
"…...Datu Salibo",9,7,0,0,0,0
"…...Datu Saudi Ampatuan",32,22,1,0,0,0
"…...Datu Unsay",9,7,0,0,0,0
"…...Gen. S.K. Pendatun",40,31,0,0,0,0
"…...Guindulungan",12,3,0,0,1,0
"…...Mamasapano",26,20,0,0,4,0
"…...Mangudadatu",22,15,0,0,1,0
"…...Pagagawan",48,37,0,0,1,0
"…...Pagalungan",79,75,1,0,1,0
"…...Paglat",32,27,0,0,0,0
"…...Pandag",7,0,0,0,0,0
"…...Rajah Buayan",18,16,0,0,1,1
"…...Shariff Aguak",30,18,0,0,1,0
"…...Shariff Saydona Mustapha",16,14,0,0,0,0
"…...South Upi",51,37,1,1,1,1
"…...Sultan sa Barongis",28,22,0,0,0,0
"…...Talayan",19,12,0,0,0,0
"….TAWI-TAWI",349,331,3,3,6,5
"…...Bongao",116,120,1,1,1,1
"…...Languyan",18,18,0,0,0,1
"…...Mapun",10,7,0,0,1,0
"…...Panglima Sugala",33,28,0,0,2,2
"…...Sapa-sapa",26,24,0,0,0,0
"…...Sibutu",45,43,0,1,1,0
"…...Simunul",28,28,0,0,0,0
"…...Sitangkai",33,26,1,0,1,1
"…...South Ubian",10,7,0,0,0,0
"…...Tandubas",30,30,1,1,0,0
"…...Turtle Islands",0,0,0,0,0,0
"FOREIGN COUNTRY",604,0,0,0,0,0
