"Geolocation","Place of Occurrence Both Sexes","Place of Occurrence Male","Place of Occurrence Female","Usual Residence Both Sexes","Usual Residence Male","Usual Residence Female"
"......Pres. Manuel A. Roxas",237,114,123,508,262,246
"......Rizal",60,22,38,207,97,110
"......Salug",186,108,78,522,281,241
"......Sergio Osmeña Sr.",421,245,176,506,286,220
"......Siayan",466,228,238,551,273,278
"......Sibuco",263,130,133,418,200,218
"......Sibutad",117,65,52,258,139,119
"......Sindangan",1344,711,633,1510,791,719
"......Siocon",673,357,316,666,358,308
"......Sirawai",397,203,194,489,259,230
"......Tampilisan",265,117,148,371,175,196
"....ZAMBOANGA DEL SUR",13973,7219,6754,15279,7872,7407
"......Aurora",512,251,261,787,411,376
"......Bayog",238,114,124,347,163,184
"......Dimataling",194,116,78,467,250,217
"......Dinas",211,102,109,519,254,265
"......Dumalinao",32,16,16,516,267,249
"......Dumingag",478,246,232,738,378,360
"......Guipos",27,11,16,322,174,148
"......Josefina",104,45,59,136,58,78
"......Kumalarang",211,106,105,357,190,167
"......Labangan",162,87,75,719,381,338
"......Lakewood",77,41,36,233,119,114
"......Lapuyan",79,39,40,334,174,160
"......Mahayag",348,176,172,698,353,345
"......Margosatubig",3167,1628,1539,611,312,299
"......Midsalip",305,147,158,509,258,251
"......Molave",330,161,169,720,367,353
"......City of Pagadian (Capital)",5813,3086,2727,3369,1754,1615
"......Pitogo",350,174,176,464,235,229
"......Ramon Magsaysay (Liargo)",127,63,64,354,175,179
"......San Miguel",59,29,30,324,165,159
"......San Pablo",206,92,114,394,191,203
"......Sominot (Don Mariano Marcos)",101,50,51,224,110,114
"......Tabina",155,76,79,338,166,172
"......Tambulig",228,116,112,581,304,277
"......Tigbao",86,44,42,293,160,133
"......Tukuran",305,164,141,616,334,282
"......Vincenzo A. Sagun",68,39,29,309,169,140
"....ZAMBOANGA SIBUGAY",9144,4805,4339,9481,4971,4510
"......Alicia",674,339,335,754,388,366
"......Buug",265,137,128,515,268,247
"......Diplahan",411,209,202,417,210,207
"......Imelda",200,99,101,395,210,185
"......Ipil (Capital)",3297,1746,1551,1414,735,679
"......Kabasalan",451,243,208,669,356,313
"......Mabuhay",184,95,89,294,157,137
"......Malangas",375,194,181,531,275,256
"......Naga",344,178,166,592,300,292
"......Olutanga",448,237,211,357,189,168
"......Payao",262,142,120,426,225,201
"......Roseller Lim",532,259,273,637,316,321
"......Siay",442,234,208,620,320,300
"......Talusan",86,49,37,224,113,111
"......Titay",508,281,227,783,436,347
"......Tungawan",665,363,302,853,473,380
"....CITY OF ISABELA",1708,928,780,1275,700,575
"....CITY OF ZAMBOANGA",14701,7637,7064,13945,7235,6710
"REGION X (NORTHERN MINDANAO)",81648,42510,39138,79551,41469,38082
"....BUKIDNON",26850,13959,12891,27484,14308,13176
"......Baungon",232,108,124,563,275,288
"......Cabanglasan",567,287,280,665,332,333
"......Damulog",172,78,94,441,203,238
"......Dangcagan",174,100,74,510,280,230
"......Don Carlos",436,247,189,1341,684,657
"......Impasug-ong",465,247,218,904,496,408
"......Kadingilan",298,139,159,589,302,287
"......Kalilangan",774,398,376,895,460,435
"......Kibawe",3506,1820,1686,752,394,358
"......Kitaotao",87,51,36,761,399,362
"......Lantapan",389,204,185,1153,592,561
"......Libona",306,157,149,877,438,439
"......City of Malaybalay (Capital)",5669,2957,2712,3630,1887,1743
"......Malitbog",375,180,195,489,239,250
"......Manolo Fortich",2206,1128,1078,1898,976,922
"......Maramag",4817,2511,2306,2110,1090,1020
"......Pangantucan",831,433,398,1113,592,521
"......Quezon",1310,679,631,2075,1101,974
"......San Fernando",939,508,431,1180,643,537
"......Sumilao",383,200,183,516,275,241
"......Talakag",772,404,368,1083,589,494
"......City of Valencia",2142,1123,1019,3939,2061,1878
"....CAMIGUIN",685,352,333,719,366,353
"......Catarman",87,47,40,160,83,77
"......Guinsiliban",6,1,5,57,27,30
"......Mahinog",3,0,3,100,46,54
"......Mambajao (Capital)",496,255,241,269,142,127
"......Sagay",93,49,44,133,68,65
"....LANAO DEL NORTE",7820,3997,3823,9202,4759,4443
"......Bacolod",179,82,97,327,166,161
"......Baloi",394,206,188,627,333,294
"......Baroy",2254,1141,1113,396,185,211
"......Kapatagan",2522,1314,1208,1044,570,474
"......Kauswagan",241,109,132,366,181,185
"......Kolambugan",422,215,207,370,195,175
"......Lala",136,68,68,1203,617,586
"......Linamon",33,18,15,280,158,122
"......Magsaysay",24,13,11,161,85,76
"......Maigo",132,58,74,341,150,191
"......Matungao",114,62,52,193,111,82
"......Munai",134,73,61,221,121,100
"......Nunungan",67,31,36,127,56,71
"......Pantao Ragat",38,19,19,107,61,46
"......Pantar",82,43,39,203,118,85
"......Poona Piagapo",179,96,83,238,124,114
"......Salvador",108,68,40,383,214,169
"......Sapad",99,47,52,359,173,186
"......Sultan Naga Dimaporo (Karomatan)",429,212,217,1086,532,554
"......Tagoloan",106,53,53,152,75,77
"......Tangcal",93,53,40,171,92,79
"......Tubod (Capital)",34,16,18,847,442,405
"....MISAMIS OCCIDENTAL",11633,6165,5468,9741,5193,4548
"......Aloran",7,3,4,351,185,166
"......Baliangao",1,0,1,247,133,114
"......Bonifacio",106,53,53,561,286,275
"......Calamba",900,477,423,416,227,189
"......Clarin",15,6,9,626,308,318
"......Concepcion",28,20,8,60,35,25
"......Don Victoriano Chiongbian (Don Mariano Marcos)",122,75,47,159,96,63
"......Jimenez",142,77,65,401,215,186
"......Lopez Jaena",24,11,13,431,242,189
"......City of Oroquieta (Capital)",2107,1154,953,1022,585,437
"......City of Ozamiz",6762,3556,3206,2400,1260,1140
"......Panaon",0,0,0,125,59,66
"......Plaridel",86,40,46,656,335,321
"......Sapang Dalaga",28,12,16,290,151,139
"......Sinacaban",5,2,3,221,131,90
"......City of Tangub",1164,612,552,1304,686,618
"......Tudela",136,67,69,471,259,212
"....MISAMIS ORIENTAL",10298,5285,5013,14922,7740,7182
"......Alubijid",330,168,162,455,233,222
"......Balingasag",1037,544,493,1061,569,492
"......Balingoan",1,1,0,160,92,68
"......Binuangan",4,2,2,104,53,51
"......Claveria",470,236,234,805,414,391
"......City of El Salvador",163,72,91,794,400,394
"......City of Gingoog",3017,1571,1446,2525,1304,1221
"......Gitagum",3,2,1,281,148,133
"......Initao",1036,541,495,543,285,258
"......Jasaan",755,404,351,822,435,387
"......Kinoguitan",4,2,2,221,122,99
"......Lagonglong",75,36,39,341,194,147
"......Laguindingan",7,3,4,363,182,181
"......Libertad",4,1,3,196,100,96
"......Lugait",12,5,7,260,141,119
"......Magsaysay (Linugos)",369,181,188,627,318,309
"......Manticao",530,266,264,434,211,223
"......Medina",366,185,181,566,299,267
"......Naawan",6,2,4,298,153,145
"......Opol",383,187,196,933,480,453
"......Salay",131,61,70,424,197,227
"......Sugbongcogon",6,2,4,152,79,73
"......Tagoloan",819,404,415,1456,739,717
"......Talisayan",520,281,239,402,210,192
"......Villanueva",250,128,122,699,382,317
"....CITY OF CAGAYAN DE ORO",17783,9335,8448,12090,6327,5763
"....CITY OF ILIGAN",6579,3417,3162,5393,2776,2617
"REGION XI (DAVAO REGION)",74027,38715,35312,73622,38489,35133
"....DAVAO DE ORO",11192,5872,5320,11587,6031,5556
"......Compostela",694,347,347,1347,687,660
"......Laak (San Vicente)",1105,607,498,1257,696,561
"......Mabini (Doña Alicia)",167,82,85,719,381,338
"......Maco",48,26,22,1190,628,562
"......Maragusan (San Mariano)",997,517,480,1065,542,523
"......Mawab",57,27,30,559,289,270
"......Monkayo",680,346,334,1393,713,680
"......Montevista",3505,1854,1651,656,377,279
"......Nabunturan (Capital)",653,349,304,1171,617,554
"......New Bataan",136,67,69,652,327,325
"......Pantukan",3150,1650,1500,1578,774,804
"....DAVAO DEL NORTE",17100,8932,8168,15813,8296,7517
"......Asuncion (Saug)",108,65,43,865,469,396
"......Braulio E. Dujali",76,35,41,350,175,175
"......Carmen",2766,1456,1310,1402,727,675
"......Kapalong",2568,1333,1235,1170,606,564
"......New Corella",160,78,82,730,381,349
"......City of Panabo",1403,740,663,2984,1553,1431
"......Island Garden City of Samal",1519,798,721,1754,923,831
"......San Isidro",72,38,34,314,176,138
"......Santo Tomas",506,263,243,1595,823,772
"......City of Tagum (Capital)",7713,4012,3701,4259,2247,2012
"......Talaingod",209,114,95,390,216,174
"....DAVAO DEL SUR",9626,4973,4653,9870,5105,4765
"......Bansalan",1044,566,478,856,463,393
"......City of Digos (Capital)",5657,2900,2757,2939,1487,1452
"......Hagonoy",3,3,0,757,390,367
"......Kiblawan",518,261,257,578,289,289
"......Magsaysay",111,59,52,778,393,385
"......Malalag",11,6,5,546,288,258
"......Matanao",227,115,112,819,430,389
"......Padada",252,132,120,394,200,194
"......Santa Cruz",1288,667,621,1742,909,833
"......Sulop",515,264,251,461,256,205
"....DAVAO OCCIDENTAL",1472,760,712,2291,1167,1124
"......Don Marcelino",66,31,35,224,98,126
"......Jose Abad Santos (Trinidad)",153,73,80,376,190,186
"......Malita (Capital)",768,393,375,853,439,414
"......Santa Maria",397,215,182,709,371,338
"......Sarangani",88,48,40,129,69,60
"....DAVAO ORIENTAL",7380,3899,3481,8470,4468,4002
"......Baganga",669,344,325,832,425,407
"......Banaybanay",50,32,18,640,366,274
"......Boston",35,15,20,161,87,74
"......Caraga",56,28,28,397,199,198
"......Cateel",507,264,243,597,303,294
"......Governor Generoso",589,300,289,857,434,423
"......Lupon",470,264,206,1007,545,462
"......Manay",308,164,144,479,257,222
"......City of Mati (Capital)",4631,2456,2175,2598,1395,1203
"......San Isidro",14,8,6,467,248,219
"......Tarragona",51,24,27,435,209,226
"....CITY OF DAVAO",27257,14279,12978,25591,13422,12169
"REGION XII (SOCCSKSARGEN)",69755,36432,33323,69223,36090,33133
"....COTABATO",22195,11615,10580,22676,11878,10798
"......Alamada",664,343,321,1285,664,621
"......Aleosan",871,448,423,711,385,326
"......Antipas",582,284,298,381,175,206
"......Arakan",191,91,100,661,339,322
"......Banisilan",388,181,207,804,399,405
"......Carmen",1483,739,744,2260,1158,1102
"......Kabacan",1643,866,777,1556,839,717
"......City of Kidapawan (Capital)",6812,3637,3175,2467,1315,1152
"......Libungan",935,490,445,783,418,365
"......Magpet",166,71,95,855,432,423
"......Makilala",380,205,175,1294,679,615
"......Matalam",343,175,168,1246,669,577
"......Midsayap",3010,1628,1382,1848,1000,848
"......M'lang",1623,884,739,1395,773,622
"......Pigkawayan",348,176,172,1009,536,473
"......Pikit",1870,945,925,2521,1290,1231
"......President Roxas",443,215,228,714,350,364
"......Tulunan",443,237,206,886,457,429
"....SARANGANI",9500,4979,4521,9746,5103,4643
"......Alabel (Capital)",2761,1412,1349,1533,776,757
"......Glan",1774,927,847,1771,911,860
"......Kiamba",1494,796,698,1289,687,602
"......Maasim",882,457,425,1193,607,586
"......Maitum",668,335,333,858,427,431
"......Malapatan",696,378,318,1442,786,656
"......Malungon",1225,674,551,1660,909,751
"....SOUTH COTABATO",15005,7847,7158,14820,7738,7082
"......Banga",228,117,111,1266,656,610
"......City of Koronadal (Capital)",8355,4461,3894,2933,1541,1392
"......Lake Sebu",398,217,181,1120,588,532
"......Norala",859,424,435,658,319,339
"......Polomolok",1641,813,828,2733,1423,1310
"......Santo Niño",107,56,51,548,298,250
"......Surallah",2398,1225,1173,1383,701,682
"......Tampakan",168,82,86,620,341,279
"......Tantangan",64,31,33,687,364,323
"......T'boli",205,105,100,1570,808,762
"......Tupi",582,316,266,1302,699,603
"....SULTAN KUDARAT",12195,6375,5820,11851,6125,5726
"......Bagumbayan",504,237,267,1161,590,571
"......Columbio",191,91,100,451,227,224
"......Esperanza",332,161,171,950,491,459
"......Isulan (Capital)",6221,3361,2860,1645,858,787
"......Kalamansig",527,270,257,811,417,394
"......Lambayong (Mariano Marcos)",698,359,339,1238,655,583
"......Lebak",1017,520,497,1091,569,522
"......Lutayan",246,135,111,678,372,306
"......Palimbang",677,334,343,968,487,481
"......President Quirino",34,16,18,582,289,293
"......Sen. Ninoy Aquino",493,255,238,669,354,315
"......City of Tacurong",1255,636,619,1607,816,791
"....CITY OF GENERAL SANTOS",10860,5616,5244,10130,5246,4884
"REGION XIII (Caraga)",38110,19907,18203,38474,20104,18370
"....AGUSAN DEL NORTE",3468,1814,1654,4738,2488,2250
"......Buenavista",550,294,256,875,456,419
"......City of Cabadbaran (Capital)",1555,827,728,1038,545,493
"......Carmen",301,152,149,315,165,150
"......Jabonga",264,137,127,333,178,155
"......Kitcharao",175,94,81,257,135,122
"......Las Nieves",178,95,83,313,165,148
"......Magallanes",56,31,25,254,132,122
"......Nasipit",323,156,167,510,266,244
"......Remedios T. Romualdez",4,0,4,229,119,110
"......Santiago",54,24,30,292,148,144
"......Tubay",8,4,4,322,179,143
"....AGUSAN DEL SUR",9598,4916,4682,9810,5034,4776
"......City of Bayugan",1232,618,614,1491,739,752
"......Bunawan",1235,619,616,698,351,347
"......Esperanza",284,141,143,662,346,316
"......La Paz",182,92,90,264,130,134
"......Loreto",596,328,268,676,381,295
"......Prosperidad (Capital)",3182,1685,1497,1158,627,531
"......Rosario",271,143,128,758,394,364
"......San Francisco",624,303,321,1133,556,577
"......San Luis",265,136,129,492,252,240
"......Santa Josefa",152,73,79,321,160,161
"......Sibagat",179,75,104,381,182,199
"......Talacogon",738,392,346,601,325,276
"......Trento",607,292,315,774,400,374
"......Veruela",51,19,32,401,191,210
"....DINAGAT ISLANDS",880,466,414,1420,768,652
"......Basilisa (Rizal)",14,7,7,264,135,129
"......Cagdianao",30,16,14,217,125,92
"......Dinagat",430,221,209,181,89,92
"......Libjo (Albor)",239,126,113,218,117,101
"......Loreto",120,65,55,117,69,48
"......San Jose (Capital)",47,31,16,315,178,137
"......Tubajon",0,0,0,108,55,53
"....SURIGAO DEL NORTE",7921,4117,3804,7347,3788,3559
"......Alegria",34,16,18,215,117,98
"......Bacuag",8,3,5,156,70,86
"......Burgos",3,1,2,58,29,29
"......Claver",236,124,112,594,313,281
"......Dapa",1395,728,667,518,266,252
"......Del Carmen",3,1,2,246,111,135
"......General Luna",29,12,17,399,211,188
"......Gigaquit",105,51,54,280,146,134
"......Mainit",157,76,81,378,187,191
"......Malimono",102,56,46,206,107,99
"......Pilar",1,1,0,150,91,59
"......Placer",1263,650,613,392,198,194
"......San Benito",12,6,6,108,57,51
"......San Francisco (Anao-Aon)",6,4,2,174,81,93
"......San Isidro",0,0,0,111,59,52
"......Santa Monica (Sapao)",6,2,4,112,63,49
"......Sison",20,10,10,194,95,99
"......Socorro",321,174,147,469,261,208
"......City of Surigao (Capital)",4168,2181,1987,2170,1111,1059
"......Tagana-an",10,5,5,224,117,107
"......Tubod",42,16,26,193,98,95
"....SURIGAO DEL SUR",9915,5269,4646,10262,5456,4806
"......Barobo",600,342,258,892,495,397
"......Bayabas",10,6,4,112,55,57
"......City of Bislig",2014,988,1026,1592,775,817
"......Cagwait",134,75,59,345,198,147
"......Cantilan",68,37,31,488,265,223
"......Carmen",0,0,0,164,90,74
"......Carrascal",181,107,74,425,243,182
"......Cortes",151,78,73,260,140,120
"......Hinatuan",782,413,369,748,384,364
"......Lanuza",19,15,4,209,122,87
"......Lianga",605,310,295,517,256,261
"......Lingig",197,115,82,550,295,255
"......Madrid",749,405,344,244,127,117
"......Marihatag",566,308,258,352,197,155
"......San Agustin",92,44,48,332,178,154
"......San Miguel",417,234,183,751,420,331
"......Tagbina",231,120,111,681,362,319
"......Tago",68,31,37,551,296,255
"......City of Tandag (Capital)",3031,1641,1390,1049,558,491
"....CITY OF BUTUAN",6328,3325,3003,4897,2570,2327
"BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)",34161,17829,16332,36066,18873,17193
"....BASILAN",2458,1254,1204,3036,1563,1473
"......Akbar",12,7,5,43,23,20
"......Al-Barka",52,29,23,87,48,39
"......Hadji Mohammad Ajul",90,41,49,179,85,94
"......Hadji Muhtamad",72,43,29,84,51,33
"......City of Lamitan (Capital)",1014,520,494,989,501,488
"......Lantawan",60,30,30,135,74,61
"......Maluso",252,118,134,355,178,177
"......Sumisip",395,217,178,475,266,209
"......Tabuan-Lasa",99,41,58,68,25,43
"......Tipo-tipo",165,80,85,251,115,136
"......Tuburan",48,30,18,115,66,49
"......Ungkaya Pukan",199,98,101,255,131,124
"....LANAO DEL SUR",9982,5213,4769,10179,5292,4887
"......Amai Manabilang",73,45,28,169,92,77
"......Bacolod-Kalawi (Bacolod Grande)",41,24,17,106,54,52
"......Balabagan",86,42,44,245,131,114
"......Balindong (Watu)",118,60,58,357,181,176
"......Bayang",13,8,5,70,38,32
"......Binidayan",95,47,48,145,72,73
"......Buadiposo-Buntong",70,29,41,143,62,81
"......Bubong",168,87,81,303,158,145
"......Butig",51,21,30,163,83,80
"......Calanogas",70,32,38,118,52,66
"......Ditsaan-Ramain",258,136,122,281,143,138
"......Ganassi",35,20,15,90,46,44
"......Kapai",10,1,9,83,42,41
"......Kapatagan",85,47,38,164,91,73
"......Lumba-Bayabao (Maguing)",43,28,15,155,94,61
"......Lumbaca-Unayan",15,9,6,29,17,12
"......Lumbatan",51,24,27,103,49,54
"......Lumbayanague",20,7,13,62,30,32
"......Madalum",15,10,5,64,42,22
"......Madamba",11,5,6,57,29,28
"......Maguing",59,26,33,176,87,89
"......Malabang",1021,542,479,489,274,215
"......Marantao",163,76,87,584,301,283
"......City of Marawi (Capital)",5121,2697,2424,2368,1233,1135
"......Marogong",65,35,30,138,68,70
"......Masiu",119,55,64,305,154,151
"......Mulondo",100,51,49,177,90,87
"......Pagayawan (Tatarikan)",112,54,58,148,73,75
"......Piagapo",173,94,79,288,159,129
"......Picong (Sultan Gumander)",141,82,59,344,185,159
"......Poona Bayabao (Gata)",84,44,40,173,100,73
"......Pualas",25,12,13,55,31,24
"......Saguiaran",126,68,58,333,165,168
"......Sultan Dumalondong",57,30,27,77,42,35
"......Tagoloan II",25,13,12,41,20,21
"......Tamparan",420,228,192,295,150,145
"......Taraka",50,26,24,141,76,65
"......Tubaran",16,11,5,59,34,25
"......Tugaya",25,11,14,149,85,64
"......Wao",752,376,376,932,459,473
"....MAGUINDANAO",14974,7834,7140,15899,8381,7518
"......Ampatuan",224,128,96,340,208,132
"......Barira",43,26,17,356,196,160
"......Buldon",58,35,23,289,146,143
"......Buluan",702,358,344,782,414,368
"......City of Cotabato",5608,2974,2634,2852,1510,1342
"......Datu Abdullah Sangki",128,61,67,281,144,137
"......Datu Anggal Midtimbang",15,7,8,82,44,38
"......Datu Blah T. Sinsuat",37,19,18,90,53,37
"......Datu Hoffer Ampatuan",861,456,405,99,51,48
"......Datu Odin Sinsuat (Dinaig)",417,206,211,1085,553,532
"......Datu Paglas",564,300,264,666,359,307
"......Datu Piang",154,82,72,272,140,132
"......Datu Salibo",146,62,84,136,56,80
"......Datu Saudi-Ampatuan",471,243,228,486,262,224
"......Datu Unsay",27,17,10,61,28,33
"......Gen. S. K. Pendatun",624,304,320,672,328,344
"......Guindulungan",88,48,40,158,86,72
"......Kabuntalan (Tumbao)",33,17,16,123,61,62
"......Mamasapano",69,31,38,238,119,119
"......Mangudadatu",105,44,61,198,100,98
"......Matanog",108,57,51,307,169,138
"......Northern Kabuntalan",38,20,18,94,59,35
"......Pagagawan",101,54,47,216,127,89
"......Pagalungan",420,217,203,511,264,247
"......Paglat",53,27,26,226,123,103
"......Pandag",46,29,17,176,97,79
"......Parang",1346,709,637,1076,558,518
"......Rajah Buayan",99,50,49,212,107,105
"......Shariff Aguak (Maganoy) (Capital)",246,128,118,480,242,238
"......Shariff Saydona Mustapha",121,62,59,104,62,42
"......South Upi",247,120,127,311,159,152
"......Sultan Kudarat (Nuling)",574,295,279,1263,664,599
"......Sultan Mastura",382,198,184,466,245,221
"......Sultan sa Barongis (Lambayong)",156,83,73,272,153,119
"......Talayan",24,15,9,139,73,66
"......Talitay",42,21,21,88,44,44
"......Upi",597,331,266,692,377,315
"....SULU",4923,2585,2338,5020,2638,2382
"......Hadji Panglima Tahil (Marunggas)",40,20,20,47,25,22
"......Indanan",352,167,185,536,279,257
"......Jolo (Capital)",2404,1295,1109,1874,1002,872
"......Kalingalan Caluang",232,124,108,239,129,110
"......Lugus",107,55,52,101,52,49
"......Luuk",109,62,47,117,67,50
"......Maimbung",326,186,140,365,198,167
"......Old Panamao",152,78,74,178,88,90
"......Omar",80,41,39,97,54,43
"......Pandami",55,27,28,63,31,32
"......Panglima Estino (New Panamao)",32,16,16,46,22,24
"......Pangutaran",232,114,118,256,123,133
"......Parang",338,160,178,326,151,175
"......Pata",35,14,21,41,17,24
"......Patikul",79,44,35,260,147,113
"......Siasi",108,54,54,138,75,63
"......Talipao",199,108,91,265,144,121
"......Tapul",22,9,13,33,13,20
"......Tongkil",21,11,10,38,21,17
"....TAWI-TAWI",1824,943,881,1932,999,933
"......Bongao (Capital)",724,395,329,717,390,327
"......Languyan",75,32,43,80,34,46
"......Mapun (Cagayan de Tawi-Tawi)",220,121,99,241,133,108
"......Panglima Sugala (Balimbing)",165,81,84,169,83,86
"......Sapa-sapa",161,68,93,171,71,100
"......Sibutu",136,59,77,150,66,84
"......Simunul",90,44,46,114,58,56
"......Sitangkai",65,33,32,78,40,38
"......South Ubian",68,37,31,79,45,34
"......Tandubas",113,70,43,126,76,50
"......Turtle Islands",7,3,4,7,3,4
"FOREIGN COUNTRY",0,0,0,110,64,46
