"Geolocation","Place of Occurrence Both Sexes","Place of Occurrence Male","Place of Occurrence Female","Usual Residence Both Sexes","Usual Residence Male","Usual Residence Female"
"......Binmaley",222,120,102,1196,605,591
"......Bolinao",488,237,251,1245,630,615
"......Bugallon",322,166,156,1120,586,534
"......Burgos",18,9,9,266,149,117
"......Calasiao",212,119,93,1386,738,648
"......City of Dagupan",8986,4658,4328,2729,1412,1317
"......Dasol",437,217,220,426,207,219
"......Infanta",108,59,49,381,191,190
"......Labrador",53,28,25,310,155,155
"......Laoac",1,1,0,399,208,191
"......Lingayen (Capital)",1364,701,663,1460,790,670
"......Mabini",37,18,19,388,195,193
"......Malasiqui",937,471,466,2109,1067,1042
"......Manaoag",442,232,210,1060,545,515
"......Mangaldan",403,208,195,1567,793,774
"......Mangatarem",1042,561,481,956,506,450
"......Mapandan",633,299,334,567,300,267
"......Natividad",7,4,3,297,159,138
"......Pozorrubio",342,176,166,904,478,426
"......Rosales",670,338,332,918,480,438
"......City of San Carlos",8483,4443,4040,3186,1666,1520
"......San Fabian",118,60,58,1110,562,548
"......San Jacinto",8,4,4,604,305,299
"......San Manuel",110,64,46,597,306,291
"......San Nicolas",66,34,32,478,251,227
"......San Quintin",88,45,43,460,231,229
"......Santa Barbara",77,39,38,1328,703,625
"......Santa Maria",29,14,15,422,203,219
"......Santo Tomas",8,5,3,155,87,68
"......Sison",42,23,19,577,306,271
"......Sual",99,57,42,598,323,275
"......Tayug",2853,1502,1351,620,332,288
"......Umingan",575,260,315,972,491,481
"......Urbiztondo",93,36,57,880,460,420
"......City of Urdaneta",5692,2993,2699,2137,1135,1002
"......Villasis",45,21,24,799,388,411
"REGION II (CAGAYAN VALLEY)",47492,24656,22836,48749,25228,23521
"....BATANES",214,125,89,222,130,92
"......Basco (Capital)",203,115,88,132,78,54
"......Itbayat",9,9,0,27,23,4
"......Ivana",1,1,0,18,9,9
"......Mahatao",0,0,0,17,8,9
"......Sabtang",0,0,0,10,5,5
"......Uyugan",1,0,1,18,7,11
"....CAGAYAN",14459,7487,6972,15465,7965,7500
"......Abulug",34,18,16,451,239,212
"......Alcala",152,78,74,401,198,203
"......Allacapan",182,90,92,472,225,247
"......Amulung",321,165,156,643,342,301
"......Aparri",1880,948,932,951,488,463
"......Baggao",367,185,182,834,414,420
"......Ballesteros",383,204,179,528,257,271
"......Buguey",71,35,36,400,193,207
"......Calayan",163,81,82,202,98,104
"......Camalaniugan",744,404,340,347,181,166
"......Claveria",13,6,7,329,164,165
"......Enrile",102,57,45,421,203,218
"......Gattaran",349,202,147,603,321,282
"......Gonzaga",591,311,280,599,309,290
"......Iguig",76,46,30,391,213,178
"......Lal-lo",32,12,20,587,301,286
"......Lasam",306,155,151,475,240,235
"......Pamplona",41,21,20,308,165,143
"......Peñablanca",191,89,102,656,339,317
"......Piat",291,143,148,308,152,156
"......Rizal",70,37,33,235,125,110
"......Sanchez-Mira",125,65,60,285,151,134
"......Santa Ana",321,170,151,569,300,269
"......Santa Praxedes",16,8,8,40,17,23
"......Santa Teresita",58,35,23,269,152,117
"......Santo Niño (Faire)",123,68,55,346,187,159
"......Solana",498,250,248,1083,588,495
"......Tuao",546,282,264,750,356,394
"......Tuguegarao City (Capital)",6413,3322,3091,1982,1047,935
"....ISABELA",22392,11628,10764,22579,11707,10872
"......Alicia",962,495,467,949,491,458
"......Angadanan",242,139,103,586,307,279
"......Aurora",100,53,47,413,211,202
"......Benito Soliven",29,17,12,370,191,179
"......Burgos",55,27,28,268,128,140
"......Cabagan",1083,545,538,687,332,355
"......Cabatuan",298,157,141,503,257,246
"......City of Cauayan",2451,1281,1170,2056,1064,992
"......Cordon",399,201,198,661,354,307
"......Delfin Albano (Magsaysay)",222,116,106,305,150,155
"......Dinapigue",91,48,43,117,56,61
"......Divilacan",15,6,9,65,34,31
"......Echague",1327,679,648,1224,625,599
"......Gamu",23,12,11,352,177,175
"......City of Ilagan (Capital)",3376,1701,1675,2155,1114,1041
"......Jones",273,146,127,537,281,256
"......Luna",12,7,5,237,118,119
"......Maconacon",22,12,10,45,22,23
"......Mallig",109,57,52,431,226,205
"......Naguilian",120,68,52,437,205,232
"......Palanan",188,111,77,225,128,97
"......Quezon",118,63,55,346,186,160
"......Quirino",14,7,7,245,127,118
"......Ramon",310,162,148,774,410,364
"......Reina Mercedes",13,7,6,355,189,166
"......Roxas",1930,1004,926,883,468,415
"......San Agustin",126,62,64,267,146,121
"......San Guillermo",129,73,56,334,179,155
"......San Isidro",3,1,2,292,157,135
"......San Manuel",20,10,10,427,205,222
"......San Mariano",549,307,242,846,466,380
"......San Mateo",313,173,140,741,409,332
"......San Pablo",13,6,7,362,183,179
"......Santa Maria",231,110,121,413,205,208
"......City of Santiago",6523,3408,3115,2337,1228,1109
"......Santo Tomas",9,3,6,269,155,114
"......Tumauini",694,354,340,1065,523,542
"....NUEVA VIZCAYA",7586,3925,3661,7328,3787,3541
"......Alfonso Castañeda",55,25,30,101,50,51
"......Ambaguio",65,30,35,239,127,112
"......Aritao",57,21,36,596,300,296
"......Bagabag",12,3,9,497,251,246
"......Bambang",1574,817,757,894,470,424
"......Bayombong (Capital)",4584,2402,2182,1044,540,504
"......Diadi",92,45,47,264,145,119
"......Dupax del Norte",283,140,143,435,240,195
"......Dupax del Sur",18,7,11,249,115,134
"......Kasibu",290,145,145,756,387,369
"......Kayapa",135,77,58,376,195,181
"......Quezon",57,26,31,405,190,215
"......Santa Fe",26,16,10,256,141,115
"......Solano",269,135,134,932,492,440
"......Villaverde",69,36,33,284,144,140
"....QUIRINO",2841,1491,1350,3155,1639,1516
"......Aglipay",31,15,16,469,246,223
"......Cabarroguis (Capital)",2013,1054,959,558,307,251
"......Diffun",402,207,195,914,467,447
"......Maddela",328,183,145,601,306,295
"......Nagtipunan",67,32,35,396,207,189
"......Saguday",0,0,0,217,106,111
"REGION III (CENTRAL LUZON)",166284,86372,79912,166344,86473,79871
"....AURORA",3147,1598,1549,3751,1920,1831
"......Baler (Capital)",2245,1160,1085,716,378,338
"......Casiguran",312,136,176,382,200,182
"......Dilasag",47,22,25,293,141,152
"......Dinalungan",43,24,19,196,106,90
"......Dingalan",241,130,111,469,255,214
"......Dipaculao",136,67,69,565,272,293
"......Maria Aurora",82,39,43,670,321,349
"......San Luis",41,20,21,460,247,213
"....BATAAN",12024,6249,5775,12416,6437,5979
"......Abucay",38,21,17,621,330,291
"......Bagac",149,73,76,463,241,222
"......City of Balanga (Capital)",7174,3754,3420,1394,757,637
"......Dinalupihan",1789,933,856,1733,885,848
"......Hermosa",27,13,14,1103,578,525
"......Limay",183,96,87,1186,603,583
"......Mariveles",1061,537,524,2217,1117,1100
"......Morong",170,92,78,530,282,248
"......Orani",1329,678,651,1159,610,549
"......Orion",85,42,43,824,437,387
"......Pilar",8,4,4,584,278,306
"......Samal",11,6,5,602,319,283
"....BULACAN",46183,24237,21946,47298,24910,22388
"......Angat",474,227,247,917,467,450
"......Balagtas (Bigaa)",410,214,196,869,460,409
"......Baliuag",3194,1671,1523,2049,1087,962
"......Bocaue",3126,1607,1519,2095,1067,1028
"......Bulacan",304,169,135,775,407,368
"......Bustos",887,501,386,978,532,446
"......Calumpit",926,478,448,1368,694,674
"......Doña Remedios Trinidad",179,100,79,483,254,229
"......Guiguinto",620,320,300,1285,679,606
"......Hagonoy",1042,520,522,1588,802,786
"......City of Malolos (Capital)",8660,4549,4111,2554,1355,1199
"......Marilao",1913,994,919,3243,1662,1581
"......City of Meycauayan",2171,1114,1057,2884,1537,1347
"......Norzagaray",725,376,349,2054,1082,972
"......Obando",119,57,62,638,342,296
"......Pandi",1098,584,514,2051,1074,977
"......Paombong",81,42,39,615,320,295
"......Plaridel",1701,914,787,1484,826,658
"......Pulilan",651,341,310,1419,748,671
"......San Ildefonso",1441,743,698,1625,828,797
"......City of San Jose del Monte",10296,5435,4861,8613,4612,4001
"......San Miguel",1599,803,796,2259,1196,1063
"......San Rafael",514,285,229,1308,689,619
"......Santa Maria",4052,2193,1859,4144,2190,1954
"....NUEVA ECIJA",30650,15709,14941,29929,15334,14595
"......Aliaga",57,24,33,839,446,393
"......Bongabon",324,166,158,953,480,473
"......City of Cabanatuan",14756,7711,7045,4763,2487,2276
"......Cabiao",416,210,206,1273,645,628
"......Carranglan",166,64,102,479,233,246
"......Cuyapo",229,119,110,688,384,304
"......Gabaldon (Bitulok & Sabani)",204,98,106,582,312,270
"......City of Gapan",1691,857,834,1784,893,891
"......General Mamerto Natividad",138,61,77,573,277,296
"......General Tinio (Papaya)",195,104,91,758,400,358
"......Guimba",590,305,285,1392,741,651
"......Jaen",62,26,36,1035,528,507
"......Laur",52,27,25,477,248,229
"......Licab",72,31,41,342,168,174
"......Llanera",18,8,10,502,242,260
"......Lupao",70,34,36,568,271,297
"......Science City of Muñoz",98,46,52,999,524,475
"......Nampicuan",22,10,12,114,59,55
"......City of Palayan (Capital)",58,34,24,633,333,300
"......Pantabangan",110,55,55,381,190,191
"......Peñaranda",31,16,15,419,234,185
"......Quezon",108,55,53,486,244,242
"......Rizal",444,228,216,836,435,401
"......San Antonio",501,250,251,1039,523,516
"......San Isidro",801,401,400,585,279,306
"......San Jose City",3229,1643,1586,2135,1061,1074
"......San Leonardo",4182,2119,2063,929,461,468
"......Santa Rosa",165,87,78,1039,558,481
"......Santo Domingo",56,26,30,687,335,352
"......Talavera",1640,805,835,1718,869,849
"......Talugtug",45,26,19,271,144,127
"......Zaragoza",120,63,57,650,330,320
"....PAMPANGA",34161,17790,16371,34830,18086,16744
"......Apalit",1192,599,593,1545,798,747
