"Geolocation","Total Deaths Place of Usual Residence","Total Deaths Place of Occurrence","Maternal Deaths Place of Usual Residence","Maternal Deaths Place of Occurrence","Infant Deaths Place of Usual Residence","Infant Deaths Place of Occurrence"
"......Aborlan",268,251,0,1,11,8
"......Agutaya",49,38,0,0,2,1
"......Araceli",81,49,0,0,2,0
"......Balabac",27,18,0,0,1,0
"......Bataraza",291,231,4,1,9,5
"......Brooke's Point",462,519,0,1,22,29
"......Busuanga",94,62,0,0,5,2
"......Cagayancillo",29,27,1,0,1,1
"......Coron",271,187,2,0,10,0
"......Culion",120,238,0,2,6,20
"......Cuyo",139,137,1,1,3,4
"......Dumaran",95,78,2,1,2,1
"......El Nido (Bacuit)",243,209,3,2,6,2
"......Kalayaan",1,1,0,0,0,0
"......Linapacan",57,43,0,0,1,0
"......Magsaysay",86,66,2,0,3,2
"......Narra",513,384,3,0,24,5
"......Quezon",402,330,2,1,18,15
"......Rizal (Marcos)",216,173,4,2,3,1
"......Roxas",429,347,0,1,10,8
"......San Vicente",171,124,1,0,3,0
"......Sofronio Española",190,135,1,1,5,0
"......Taytay",459,412,1,2,14,12
"....ROMBLON",2282,2165,6,6,68,62
"......Alcantara",116,76,0,0,3,0
"......Banton",42,37,0,0,0,0
"......Cajidiocan",198,226,3,3,4,10
"......Calatrava",78,56,0,0,1,0
"......Concepcion",35,30,0,0,0,0
"......Corcuera",91,78,0,0,3,3
"......Ferrol",52,29,0,0,3,1
"......Looc",180,178,0,0,7,5
"......Magdiwang",114,74,0,0,8,2
"......Odiongan",370,612,0,2,5,18
"......Romblon (Capital)",289,265,1,1,13,14
"......San Agustin",191,149,1,0,8,5
"......San Andres",113,82,0,0,2,1
"......San Fernando",171,123,1,0,7,3
"......San Jose",63,46,0,0,1,0
"......Santa Fe",114,67,0,0,3,0
"......Santa Maria (Imelda)",65,37,0,0,0,0
"....CITY OF PUERTO PRINCESA",1690,2319,4,14,56,100
"REGION V (BICOL REGION)",42549,42103,139,135,1450,1449
"....ALBAY",9890,10059,22,21,287,330
"......Bacacay",505,309,4,1,19,4
"......Camalig",529,310,3,0,13,1
"......Daraga (Locsin)",933,2620,2,13,21,212
"......Guinobatan",638,345,0,0,18,2
"......Jovellar",149,78,0,0,11,4
"......City of Legazpi (Capital)",1468,1330,5,3,47,21
"......Libon",534,396,0,0,19,5
"......City of Ligao",865,1413,2,1,28,28
"......Malilipot",304,175,0,0,8,2
"......Malinao",331,184,1,1,7,2
"......Manito",193,143,0,0,4,2
"......Oas",542,328,0,0,13,2
"......Pio Duran",335,293,1,1,3,3
"......Polangui",712,433,1,0,17,6
"......Rapu-Rapu",190,115,1,0,8,3
"......Santo Domingo (Libog)",277,163,0,0,8,1
"......City of Tabaco",995,1174,1,1,34,27
"......Tiwi",390,250,1,0,9,5
"....CAMARINES NORTE",4503,4203,15,12,196,177
"......Basud",302,178,0,0,9,2
"......Capalonga",257,153,0,0,13,7
"......Daet (Capital)",840,1982,1,10,31,127
"......Jose Panganiban",464,288,1,0,23,11
"......Labo",770,467,4,1,36,10
"......Mercedes",390,215,2,0,16,4
"......Paracale",451,269,1,0,24,5
"......San Lorenzo Ruiz (Imelda)",99,47,0,0,4,0
"......San Vicente",83,47,0,0,4,0
"......Santa Elena",292,215,2,1,14,7
"......Talisay",215,121,3,0,7,0
"......Vinzons",340,221,1,0,15,4
"....CAMARINES SUR",14387,14711,49,50,498,520
"......Baao",447,266,0,0,16,4
"......Balatan",205,132,2,0,7,0
"......Bato",362,230,0,0,11,1
"......Bombon",97,66,0,0,1,1
"......Buhi",594,406,3,1,18,6
"......Bula",484,348,3,0,21,5
"......Cabusao",168,499,1,4,2,17
"......Calabanga",591,346,0,0,19,6
"......Camaligan",220,116,1,0,9,2
"......Canaman",232,120,2,0,3,1
"......Caramoan",381,298,2,1,21,12
"......Del Gallego",166,103,1,1,3,0
"......Gainza",86,49,0,0,3,1
"......Garchitorena",157,120,1,1,9,6
"......Goa",501,421,1,1,25,11
"......City of Iriga",882,1009,1,4,27,26
"......Lagonoy",371,225,3,1,13,4
"......Libmanan",692,430,2,0,19,10
"......Lupi",228,149,1,0,11,5
"......Magarao",181,105,1,1,3,0
"......Milaor",239,136,0,0,7,2
"......Minalabac",370,198,2,2,18,4
"......Nabua",663,511,1,0,21,6
"......City of Naga",1578,5472,3,29,57,352
"......Ocampo",370,233,0,0,15,3
"......Pamplona",223,126,2,0,8,1
"......Pasacao",311,205,2,1,12,3
"......Pili (Capital)",674,398,2,0,26,5
"......Presentacion (Parubcan)",142,98,0,0,8,4
"......Ragay",470,341,2,2,10,4
"......Sagñay",263,211,1,1,5,2
"......San Fernando",259,150,0,0,8,0
"......San Jose",328,247,0,0,10,4
"......Sipocot",480,295,3,0,15,5
"......Siruma",104,70,0,0,2,0
"......Tigaon",411,257,4,0,23,6
"......Tinambac",457,325,2,0,12,1
"....CATANDUANES",1955,1922,5,5,80,79
"......Bagamanoc",86,48,0,0,1,0
"......Baras",92,36,0,0,0,0
"......Bato",173,117,1,0,5,2
"......Caramoran",219,150,1,0,14,7
"......Gigmoto",64,38,0,0,2,0
"......Pandan",158,157,0,0,11,10
"......Panganiban (Payo)",75,31,0,0,4,0
"......San Andres (Calolbon)",288,226,1,0,10,5
"......San Miguel",105,48,0,0,1,0
"......Viga",158,152,0,0,5,5
"......Virac (Capital)",537,919,2,5,27,50
"....MASBATE",5610,5287,34,32,209,198
"......Aroroy",458,388,5,3,22,16
"......Baleno",134,109,0,0,2,1
"......Balud",225,188,0,0,7,5
"......Batuan",120,83,1,0,9,4
"......Cataingan",387,348,2,1,10,8
"......Cawayan",377,304,2,0,14,8
"......Claveria",170,153,2,2,5,3
"......Dimasalang",163,128,1,1,3,1
"......Esperanza",107,86,0,0,2,1
"......Mandaon",283,216,2,1,10,4
"......City of Masbate (Capital)",730,1393,1,20,30,99
"......Milagros",329,242,1,0,18,5
"......Mobo",265,158,0,0,13,3
"......Monreal",151,101,1,1,4,0
"......Palanas",214,158,3,0,6,5
"......Pio V. Corpuz (Limbuhan)",169,141,1,0,3,2
"......Placer",367,293,3,0,14,8
"......San Fernando",175,113,1,0,10,2
"......San Jacinto",256,293,1,0,9,14
"......San Pascual",200,160,0,0,4,3
"......Uson",330,232,7,3,14,6
"....SORSOGON",6204,5921,14,15,180,145
"......Barcelona",165,81,0,0,1,0
"......Bulan",822,600,2,1,21,3
"......Bulusan",196,116,1,0,1,0
"......Casiguran",270,149,1,0,12,2
"......Castilla",459,356,0,0,11,3
"......Donsol",366,322,1,0,16,7
"......Gubat",527,522,1,1,5,3
"......Irosin",440,525,2,0,13,9
"......Juban",262,124,0,0,7,1
"......Magallanes",260,193,1,1,9,7
"......Matnog",277,210,0,0,14,3
"......Pilar",454,297,1,0,13,7
"......Prieto Diaz",149,81,0,0,4,0
"......Santa Magdalena",138,82,0,0,1,0
"......City of Sorsogon (Capital)",1419,2263,4,12,52,100
"REGION VI (WESTERN VISAYAS)",58659,58449,108,108,1363,1365
"....AKLAN",4600,4545,6,5,105,102
"......Altavas",217,164,0,0,2,1
"......Balete",215,124,0,0,2,0
"......Banga",360,205,1,0,7,0
"......Batan",288,167,0,0,4,1
"......Buruanga",135,94,0,0,2,0
"......Ibajay",418,311,1,0,10,1
"......Kalibo (Capital)",714,2065,1,5,17,85
"......Lezo",124,70,0,0,2,0
"......Libacao",188,124,0,0,11,4
"......Madalag",147,107,0,0,1,0
"......Makato",243,140,0,0,5,1
"......Malay",276,222,2,0,8,3
"......Malinao",192,128,0,0,5,4
"......Nabas",279,163,0,0,5,1
"......New Washington",342,209,0,0,9,1
"......Numancia",280,142,1,0,9,0
"......Tangalan",182,110,0,0,6,0
"....ANTIQUE",4475,4240,12,12,119,113
"......Anini-y",191,132,0,0,4,1
"......Barbaza",202,149,0,0,4,2
"......Belison",114,80,0,0,1,0
"......Bugasong",247,224,0,0,4,3
"......Caluya",123,78,0,0,5,1
"......Culasi",332,300,1,0,14,9
"......Hamtic",375,273,0,0,16,1
"......Laua-an",192,143,1,1,8,3
"......Libertad",139,93,1,0,2,1
"......Pandan",278,247,0,0,4,3
"......Patnongon",300,218,0,0,7,2
"......San Jose (Capital)",526,1206,1,7,19,76
"......San Remigio",202,139,4,1,5,2
"......Sebaste",134,121,0,0,2,2
"......Sibalom",491,368,2,1,8,2
"......Tibiao",203,134,1,1,5,1
"......Tobias Fornier (Dao)",283,225,0,0,5,1
"......Valderrama",143,110,1,1,6,3
"....CAPIZ",5749,5493,13,11,110,91
"......Cuartero",220,134,0,0,4,0
"......Dao",269,351,1,0,5,2
"......Dumalag",243,149,1,1,3,0
"......Dumarao",373,245,1,0,6,2
"......Ivisan",232,142,1,0,5,0
"......Jamindan",228,151,2,0,5,1
"......Ma-ayon",259,141,0,0,6,1
"......Mambusao",278,348,1,2,7,9
"......Panay",377,217,0,0,8,1
"......Panitan",317,184,0,0,5,0
"......Pilar",345,206,2,0,3,0
"......Pontevedra",351,548,0,1,4,11
"......President Roxas",228,111,0,0,3,2
"......City of Roxas (Capital)",1242,2025,3,6,25,60
"......Sapi-an",197,112,0,0,7,0
"......Sigma",227,126,0,0,5,0
"......Tapaz",363,303,1,1,9,2
"....GUIMARAS",1286,1078,2,0,47,22
"......Buenavista",378,246,0,0,15,0
"......Jordan (Capital)",253,522,0,0,9,22
"......Nueva Valencia",303,154,0,0,5,0
"......San Lorenzo",196,90,0,0,9,0
"......Sibunag",156,66,2,0,9,0
"....ILOILO",15341,12846,26,14,407,185
"......Ajuy",410,248,1,0,16,0
"......Alimodian",264,345,0,0,7,11
"......Anilao",205,113,0,0,8,2
"......Badiangan",234,127,0,0,6,0
"......Balasan",257,539,0,1,6,13
"......Banate",254,145,0,0,5,1
"......Barotac Nuevo",455,715,0,1,10,18
"......Barotac Viejo",356,388,0,0,6,6
"......Batad",157,92,1,0,0,0
"......Bingawan",103,51,1,0,3,0
"......Cabatuan",461,483,0,1,12,6
"......Calinog",443,498,1,0,15,17
"......Carles",436,289,2,1,10,6
"......Concepcion",300,180,0,0,8,2
"......Dingle",361,224,0,0,6,2
"......Dueñas",293,166,0,0,9,0
"......Dumangas",620,441,2,2,14,3
"......Estancia",365,204,1,0,10,4
"......Guimbal",319,562,0,0,6,8
"......Igbaras",301,193,1,0,12,2
"......Janiuay",485,470,1,3,8,5
"......Lambunao",580,479,1,0,21,9
"......Leganes",253,132,0,0,8,1
"......Lemery",211,126,2,0,11,2
"......Leon",384,259,0,0,6,1
"......Maasin",289,160,1,0,7,0
"......Miagao",603,457,1,0,13,4
"......Mina",187,87,0,0,3,0
"......New Lucena",213,130,0,0,2,0
"......Oton",715,395,3,0,25,3
"......City of Passi",664,622,2,1,24,9
"......Pavia",446,238,0,0,12,0
"......Pototan",594,852,0,0,15,18
"......San Dionisio",278,177,0,0,7,0
"......San Enrique",249,140,0,0,4,1
"......San Joaquin",436,385,1,1,12,5
"......San Miguel",227,140,1,0,7,0
"......San Rafael",120,54,0,0,3,0
"......Santa Barbara",531,456,1,1,14,4
"......Sara",445,592,1,2,20,22
"......Tigbauan",456,270,0,0,7,0
"......Tubungan",174,129,0,0,3,0
"......Zarraga",207,93,1,0,6,0
"....NEGROS OCCIDENTAL",18883,17088,37,30,399,340
"......City of Bago",1357,1126,1,1,31,19
"......Binalbagan",477,403,0,0,12,7
"......City of Cadiz",1250,1292,1,2,15,17
"......Calatrava",476,387,3,1,5,1
"......Candoni",122,95,0,0,2,1
"......Cauayan",699,570,4,0,21,14
"......Enrique B. Magalona (Saravia)",490,295,1,0,6,3
"......City of Escalante",762,711,2,0,24,18
"......City of Himamaylan",894,820,1,1,39,27
"......Hinigaran",777,667,0,0,18,13
"......Hinoba-an (Asia)",371,320,1,1,16,12
"......Ilog",408,228,2,0,7,1
"......Isabela",436,415,2,2,6,8
"......City of Kabankalan",1236,1615,6,10,29,56
"......City of La Carlota",569,644,0,0,6,10
"......La Castellana",579,449,2,0,14,9
"......Manapla",411,325,0,0,10,3
"......Moises Padilla (Magallon)",292,223,1,0,5,2
"......Murcia",577,357,0,0,20,8
"......Pontevedra",411,264,0,0,5,1
"......Pulupandan",227,141,1,0,3,1
"......City of Sagay",1100,1063,6,5,19,18
"......Salvador Benedicto",127,83,0,0,3,2
"......City of San Carlos",901,995,1,3,16,18
"......San Enrique",206,124,0,0,1,1
"......City of Silay",1060,1467,1,3,11,37
"......City of Sipalay",485,404,0,0,16,11
"......City of Talisay",823,427,0,0,14,3
"......Toboso",308,220,0,0,7,6
"......Valladolid",322,433,1,1,6,6
"......City of Victorias",730,525,0,0,12,7
"....CITY OF BACOLOD",4701,6444,5,13,81,144
"....CITY OF ILOILO",3624,6715,7,23,95,368
"REGION VII (CENTRAL VISAYAS)",54636,55042,173,172,1542,1534
"....BOHOL",10103,9990,10,10,196,192
"......Alburquerque",88,56,0,0,2,0
"......Alicia",186,136,0,0,2,0
"......Anda",149,111,0,0,0,0
"......Antequera",130,84,0,0,3,0
"......Baclayon",153,88,0,0,3,0
"......Balilihan",171,109,0,0,4,0
"......Batuan",97,66,0,0,1,0
"......Bien Unido",179,114,0,0,2,1
"......Bilar",137,92,1,0,3,0
"......Buenavista",225,139,1,0,8,3
"......Calape",270,215,0,0,5,3
"......Candijay",260,193,0,0,1,1
"......Carmen",348,315,0,0,6,5
"......Catigbian",179,126,0,0,0,0
"......Clarin",146,111,0,0,0,1
"......Corella",79,53,0,0,1,0
"......Cortes",123,83,0,0,0,0
"......Dagohoy",105,78,0,0,3,1
"......Danao",121,80,1,0,6,1
"......Dauis",307,197,0,0,6,2
"......Dimiao",149,101,1,0,3,0
"......Duero",161,106,0,0,1,0
"......Garcia Hernandez",188,132,0,0,4,0
"......Getafe",197,127,0,0,8,2
"......Guindulman",252,194,0,0,5,2
"......Inabanga",344,245,0,0,11,3
"......Jagna",288,250,0,0,8,2
"......Lila",104,61,0,0,2,0
"......Loay",121,90,0,0,1,0
"......Loboc",135,89,0,0,1,0
"......Loon",367,254,0,0,5,0
"......Mabini",240,174,1,1,5,2
"......Maribojoc",175,128,0,0,2,1
"......Panglao",245,168,1,0,5,1
"......Pilar",203,150,1,1,2,1
"......Pres. Carlos P. Garcia (Pitogo)",178,141,0,0,4,0
"......Sagbayan (Borja)",146,106,0,0,3,0
"......San Isidro",71,54,0,0,1,0
"......San Miguel",176,127,0,0,3,1
"......Sevilla",81,53,0,0,1,0
"......Sierra Bullones",220,146,0,0,4,1
"......Sikatuna",63,48,0,0,0,0
"......City of Tagbilaran (Capital)",731,2706,2,8,17,107
"......Talibon",437,451,0,0,13,6
"......Trinidad",211,121,0,0,6,1
"......Tubigon",359,254,1,0,10,3
"......Ubay",600,883,0,0,13,40
"......Valencia",208,185,0,0,2,1
"....CEBU",21374,19136,66,34,665,510
"......Alcantara",108,62,2,0,5,1
"......Alcoy",127,87,0,0,5,0
"......Alegria",189,122,0,0,3,1
"......Aloguinsan",203,138,1,0,8,0
"......Argao",544,595,1,1,9,9
"......Asturias",387,294,2,1,8,1
"......Badian",277,347,1,1,8,9
"......Balamban",528,662,1,1,9,17
"......Bantayan",572,618,2,1,10,19
"......Barili",509,535,0,0,15,10
"......City of Bogo",615,908,0,2,12,48
"......Boljoon",124,84,0,0,2,1
"......Borbon",272,156,1,0,9,1
"......City of Carcar",909,1102,6,6,25,61
"......Carmen",366,194,1,0,16,3
"......Catmon",244,164,1,0,6,2
"......Compostela",341,173,1,1,17,1
"......Consolacion",789,568,3,1,26,7
"......Cordova",429,269,1,0,17,4
"......Daanbantayan",698,606,1,0,24,13
"......Dalaguete",482,332,2,0,11,6
"......Danao City",1067,1431,4,1,46,65
"......Dumanjug",384,245,0,0,11,1
"......Ginatilan",121,76,0,0,3,1
"......Liloan",819,389,4,0,29,1
"......Madridejos",235,142,0,0,11,2
"......Malabuyoc",168,260,0,0,3,5
"......Medellin",440,334,2,0,11,1
"......Minglanilla",854,673,4,2,40,19
"......Moalboal",206,122,0,0,4,1
"......City of Naga",802,760,0,0,28,23
"......Oslob",243,285,0,0,9,8
"......Pilar",84,80,0,0,1,1
"......Pinamungajan",471,392,2,1,12,7
"......Poro",198,124,0,0,3,0
"......Ronda",181,123,1,0,7,0
"......Samboan",168,106,1,0,2,0
"......San Fernando",428,270,4,0,19,2
"......San Francisco",370,406,1,0,14,10
"......San Remigio",411,270,1,0,9,1
"......Santa Fe",166,101,0,0,9,1
"......Santander",141,100,0,0,3,1
"......Sibonga",397,329,1,0,9,6
"......Sogod",301,390,1,2,15,22
"......Tabogon",312,218,0,0,13,2
"......Tabuelan",208,150,0,0,7,3
"......City of Talisay",1685,1787,7,10,66,89
"......City of Toledo",1258,1058,4,1,26,17
"......Tuburan",462,445,2,2,10,7
"......Tudela",81,54,0,0,0,0
"....NEGROS ORIENTAL",10501,10421,35,31,278,272
"......Amlan (Ayuquitan)",218,153,0,0,3,1
"......Ayungon",352,234,2,0,14,5
"......Bacong",342,242,0,0,13,1
"......City of Bais",594,507,1,2,11,5
"......Basay",188,136,2,0,6,4
"......City of Bayawan (Tulong)",809,781,4,3,35,26
"......Bindoy (Payabon)",282,292,1,1,11,11
"......City of Canlaon",376,305,7,4,14,12
"......Dauin",288,200,0,0,3,0
"......City of Dumaguete (Capital)",1209,3025,2,14,22,157
"......City of Guihulngan",683,595,1,1,14,10
"......Jimalalud",177,128,1,1,1,0
"......La Libertad",236,197,1,0,8,1
"......Mabinay",568,444,1,0,21,10
"......Manjuyod",315,239,3,2,11,5
"......Pamplona",309,231,2,0,8,1
"......San Jose",157,100,0,0,10,4
"......Santa Catalina",537,383,2,1,18,7
"......Siaton",570,458,2,0,12,4
"......Sibulan",507,466,1,1,7,0
"......City of Tanjay",673,495,0,0,12,1
"......Tayasan",245,192,0,1,6,3
"......Valencia (Luzurriaga)",314,196,2,0,10,1
"......Vallehermoso",297,235,0,0,5,3
"......Zamboanguita",255,187,0,0,3,0
"....SIQUIJOR",870,789,0,0,22,18
"......Enrique Villanueva",59,43,0,0,2,1
"......Larena",128,65,0,0,2,0
"......Lazi",174,119,0,0,2,0
"......Maria",121,79,0,0,3,1
"......San Juan",145,102,0,0,7,1
"......Siquijor (Capital)",243,381,0,0,6,15
"....CITY OF CEBU",7142,9711,31,73,208,384
"....CITY OF LAPU-LAPU",2655,2555,22,12,105,78
"....CITY OF MANDAUE",1991,2440,9,12,68,80
"REGION VIII (EASTERN VISAYAS)",31005,30678,82,79,562,558
"....BILIRAN",1284,1190,4,3,36,41
"......Almeria",156,102,0,0,1,0
"......Biliran",114,66,0,0,3,0
"......Cabucgayan",154,101,0,0,12,4
"......Caibiran",162,116,1,0,1,0
"......Culaba",91,67,0,0,2,0
"......Kawayan",148,105,0,0,2,0
"......Maripipi",46,39,0,0,2,1
"......Naval (Capital)",413,594,3,3,13,36
"....EASTERN SAMAR",3187,2937,8,7,54,44
"......Arteche",98,80,0,0,0,0
"......Balangiga",114,123,1,1,1,1
"......Balangkayan",77,56,0,0,1,0
"......City of Borongan (Capital)",504,694,0,2,13,21
"......Can-avid",145,99,1,1,5,2
"......Dolores",246,213,2,0,6,5
"......General MacArthur",95,93,0,0,2,1
"......Giporlos",98,55,0,0,0,0
"......Guiuan",343,381,0,0,7,5
"......Hernani",59,35,0,0,0,0
"......Jipapad",26,20,0,0,1,0
"......Lawaan",86,70,0,0,0,0
"......Llorente",135,93,1,1,6,1
"......Maslog",15,11,0,0,0,0
"......Maydolong",85,56,0,0,2,1
"......Mercedes",52,26,0,0,1,0
"......Oras",246,291,2,1,2,6
"......Quinapondan",100,68,0,0,2,0
"......Salcedo",176,131,0,0,1,1
"......San Julian",122,75,0,0,1,0
"......San Policarpo",106,71,0,0,2,0
"......Sulat",128,100,1,1,0,0
"......Taft",131,96,0,0,1,0
"....LEYTE",12446,11218,25,17,216,158
"......Abuyog",453,429,1,0,6,5
"......Alangalang",347,211,0,0,2,1
"......Albuera",392,295,1,0,8,2
"......Babatngon",183,125,0,0,1,1
"......Barugo",215,159,0,0,4,2
"......Bato",279,188,1,0,6,2
"......City of Baybay",841,846,2,3,8,10
"......Burauen",368,328,1,0,4,2
"......Calubian",210,187,0,0,4,2
"......Capoocan",256,172,1,0,6,0
"......Carigara",375,400,1,1,4,6
"......Dagami",252,154,0,0,6,3
"......Dulag",365,243,0,0,5,2
"......Hilongos",513,577,1,1,1,6
"......Hindang",167,111,1,0,2,0
"......Inopacan",171,122,0,0,2,0
"......Isabel",309,247,1,0,6,2
"......Jaro",282,171,1,0,7,2
"......Javier (Bugho)",172,148,0,0,5,4
"......Julita",124,86,0,0,0,0
"......Kananga",372,303,1,0,10,4
"......La Paz",116,89,0,0,2,0
"......Leyte",225,165,0,0,7,3
"......MacArthur",141,87,0,0,1,0
"......Mahaplag",228,158,0,0,2,0
"......Matag-ob",139,100,1,0,4,1
"......Matalom",311,245,1,0,6,1
"......Mayorga",126,91,0,0,2,0
"......Merida",248,193,0,0,6,3
"......Ormoc City",1512,1992,3,6,39,51
"......Palo",473,937,0,3,9,22
"......Palompon",463,406,1,2,8,10
"......Pastrana",123,67,0,0,4,2
"......San Isidro",226,184,0,0,2,1
"......San Miguel",140,90,2,0,1,0
"......Santa Fe",121,75,1,0,2,1
"......Tabango",199,171,0,1,1,1
"......Tabontabon",73,42,0,0,0,0
"......Tanauan",412,267,1,0,7,1
"......Tolosa",176,104,0,0,6,0
"......Tunga",54,29,0,0,0,0
"......Villaba",294,224,2,0,10,5
"....NORTHERN SAMAR",4045,3906,17,15,110,107
"......Allen",198,259,0,0,8,15
"......Biri",70,60,0,0,0,0
"......Bobon",172,101,0,0,7,2
"......Capul",94,77,1,1,5,3
"......Catarman (Capital)",653,1427,3,11,21,69
"......Catubig",180,159,3,0,4,2
"......Gamay",133,124,0,0,5,2
"......Laoang",382,304,0,0,5,1
"......Lapinig",53,34,0,0,1,0
"......Las Navas",130,93,0,0,2,1
"......Lavezares",221,140,1,0,7,2
"......Lope de Vega",100,62,0,0,3,1
"......Mapanas",57,42,1,0,1,0
"......Mondragon",262,143,1,0,10,2
"......Palapag",232,170,0,0,4,0
"......Pambujan",220,149,2,1,6,2
"......Rosario",72,30,0,0,3,0
"......San Antonio",71,58,0,0,0,0
"......San Isidro",195,130,2,1,2,0
"......San Jose",151,83,1,0,1,0
"......San Roque",154,74,0,0,7,3
"......San Vicente",46,42,1,0,1,1
"......Silvino Lobos",80,65,0,0,2,0
"......Victoria",119,80,1,1,5,1
"....SAMAR",5161,4802,18,11,92,80
"......Almagro",57,41,0,0,0,0
"......Basey",357,353,1,0,2,4
"......City of Calbayog",1478,1531,9,8,29,29
"......Calbiga",169,129,0,0,3,3
"......City of Catbalogan (Capital)",711,1012,1,1,27,31
"......Daram",210,159,0,0,0,0
"......Gandara",206,182,0,0,4,2
"......Hinabangan",71,53,0,0,0,0
"......Jiabong",114,77,0,0,2,0
"......Marabut",99,71,1,0,0,0
"......Matuguinao",42,31,0,0,1,1
"......Motiong",110,81,1,1,0,0
"......Pagsanghan",46,30,0,0,0,0
"......Paranas (Wright)",239,155,1,0,5,2
"......Pinabacdao",87,64,0,0,1,1
"......San Jorge",104,65,0,0,2,2
"......San Jose de Buan",35,28,0,0,0,0
"......San Sebastian",41,29,0,0,0,0
"......Santa Margarita",164,115,1,0,1,0
"......Santa Rita",231,158,2,0,6,1
"......Santo Niño",80,64,1,1,2,1
"......Tagapul-an",56,47,0,0,0,0
"......Talalora",42,35,0,0,0,0
"......Tarangnan",130,91,0,0,1,0
"......Villareal",179,133,0,0,3,2
"......Zumarraga",103,68,0,0,3,1
"....SOUTHERN LEYTE",3421,3306,4,2,38,37
"......Anahawan",63,162,0,0,1,4
"......Bontoc",205,135,0,0,4,1
"......Hinunangan",240,216,0,0,2,1
"......Hinundayan",123,99,0,0,3,0
"......Libagon",134,90,0,0,2,0
"......Liloan",180,150,1,0,4,3
"......Limasawa",42,32,0,0,1,1
"......City of Maasin (Capital)",734,868,1,1,9,14
"......Macrohon",212,153,1,0,1,0
"......Malitbog",156,119,0,0,4,2
"......Padre Burgos",71,47,0,0,1,0
"......Pintuyan",87,98,0,0,0,0
"......Saint Bernard",218,138,0,0,2,0
"......San Francisco",115,84,0,0,0,0
"......San Juan (Cabalian)",142,101,0,0,0,0
"......San Ricardo",74,47,1,1,1,0
"......Silago",123,90,0,0,0,0
"......Sogod",347,556,0,0,3,11
"......Tomas Oppus",155,121,0,0,0,0
"....CITY OF TACLOBAN",1461,3319,6,24,16,91
"REGION IX (ZAMBOANGA PENINSULA)",23554,22917,73,72,679,639
"....ZAMBOANGA DEL NORTE",6592,6383,18,14,138,126
"......Bacungan (Leon T. Postigo)",184,150,0,0,2,2
"......Baliguian",76,49,1,1,3,0
"......City of Dapitan",696,837,0,1,12,20
"......City of Dipolog (Capital)",1046,1837,1,6,20,46
"......Godod",62,44,0,0,2,0
"......Gutalac",161,105,0,0,4,0
"......Jose Dalman (Ponot)",184,145,0,0,3,2
"......Kalawit",105,75,1,1,3,0
"......Katipunan",324,189,0,0,8,2
"......La Libertad",73,39,0,0,1,1
"......Labason",259,222,2,0,6,5
"......Liloy",281,292,2,1,10,13
"......Manukan",307,255,0,0,4,1
"......Mutia",103,54,0,0,2,0
"......Piñan (New Piñan)",187,156,1,0,6,4
"......Polanco",289,170,1,1,3,1
"......Pres. Manuel A. Roxas",238,184,1,0,5,2
"......Rizal",131,90,1,0,2,1
"......Salug",214,142,0,0,7,2
"......Sergio Osmeña Sr.",220,166,1,1,2,2
"......Siayan",132,101,2,1,4,2
"......Sibuco",127,109,0,0,5,2
"......Sibutad",149,97,0,0,2,0
"......Sindangan",668,581,2,1,15,13
"......Siocon",165,148,2,0,2,2
"......Sirawai",42,34,0,0,1,1
"......Tampilisan",169,112,0,0,4,2
"....ZAMBOANGA DEL SUR",6194,5834,9,7,150,116
"......Aurora",343,264,0,0,6,1
"......Bayog",171,134,1,0,5,4
"......Dimataling",167,122,1,0,2,0
"......Dinas",158,121,0,0,4,1
"......Dumalinao",248,172,0,0,2,0
"......Dumingag",275,215,1,1,9,3
"......Guipos",157,100,0,0,3,0
"......Josefina",65,48,0,0,1,0
"......Kumalarang",137,87,0,0,2,0
"......Labangan",241,171,0,0,6,2
"......Lakewood",98,75,0,0,0,0
"......Lapuyan",173,139,0,0,3,0
"......Mahayag",315,237,1,0,11,2
"......Margosatubig",259,600,0,2,7,35
"......Midsalip",216,167,1,1,7,1
"......Molave",304,217,1,0,12,3
"......City of Pagadian (Capital)",1230,1760,1,2,33,54
"......Pitogo",159,132,0,0,2,2
"......Ramon Magsaysay (Liargo)",228,176,0,0,5,1
"......San Miguel",116,85,0,1,4,0
"......San Pablo",142,98,0,0,10,4
"......Sominot (Don Mariano Marcos)",110,86,0,0,1,1
"......Tabina",147,115,2,0,0,0
"......Tambulig",209,135,0,0,11,1
"......Tigbao",108,75,0,0,1,0
"......Tukuran",269,188,0,0,1,1
"......Vincenzo A. Sagun",149,115,0,0,2,0
"....ZAMBOANGA SIBUGAY",3614,3252,12,9,115,87
"......Alicia",197,158,3,2,7,2
"......Buug",244,190,2,0,9,3
"......Diplahan",172,153,0,1,1,2
"......Imelda",118,78,0,0,6,0
"......Ipil (Capital)",601,991,1,5,24,59
"......Kabasalan",303,221,0,0,9,7
"......Mabuhay",90,65,0,0,4,0
"......Malangas",166,129,0,0,5,2
"......Naga",306,203,0,0,7,1
"......Olutanga",134,132,0,0,0,0
"......Payao",175,136,1,0,5,0
"......Roseller Lim",230,212,3,1,5,3
"......Siay",222,139,0,0,7,3
"......Talusan",82,61,0,0,2,0
"......Titay",333,227,0,0,12,2
"......Tungawan",241,157,2,0,12,3
"....CITY OF ISABELA",514,455,1,1,6,14
